ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm)
64,2.1054,1.2747,1.6816,0.2993,2.2607,5.9093
65,1.7642,0.5901,16.4406,1.8029,3.9525,17.0003
66,2.9421,3.4904,1.3392,1.6906,1.5373,17.4248
67,1.1342,0.2423,3.1792,1.6978,1.7389,7.1079
68,4.1099,3.1269,5.8646,0.8816,0.8878,6.3241
69,0.8355,0.7895,12.8506,0.3689,2.0554,13.122
70,4.941,4.7313,19.539,0.305,0.5239,4.501
71,3.9751,4.6722,2.7975,1.2506,1.6731,9.9319
72,1.3942,1.205,3.2828,1.6736,1.93,3.2562
73,0.5248,3.1107,7.693,1.8102,1.3518,6.4427
74,4.1696,0.2372,16.8063,0.6486,0.5967,6.3009
75,3.6809,4.6658,9.611,0.71,2.6562,14.0505
76,3.7805,2.6626,6.7714,0.2917,4.3389,6.0043
77,3.9707,0.3118,11.4435,1.5714,1.7447,18.0207
78,0.8332,1.7782,5.5802,0.6238,1.2603,19.6694
79,2.1131,0.4766,8.3226,1.0138,1.4967,2.0807
80,1.0214,2.0254,6.9858,1.8649,4.3232,8.2541
81,4.384,3.3826,16.1807,1.5292,2.6863,6.3859
82,3.3048,2.4025,18.523,0.2002,0.7409,7.3638
83,1.989,1.9802,15.3117,0.1155,3.5752,5.6744
84,0.786,0.6839,9.0621,1.5961,0.8564,7.962
85,1.8994,1.3002,10.3345,1.1498,0.3952,3.2576
86,1.9633,0.5907,2.9389,1.4686,1.3529,5.9565
87,3.7832,4.0567,15.0639,0.3979,0.9236,15.0824
88,3.369,0.7627,12.1313,1.7569,3.0645,7.2089
89,4.4925,3.0173,18.0976,1.5693,2.4744,4.5528
90,2.625,1.7794,4.4119,1.7926,3.6479,2.6147
91,1.0382,1.2073,15.3147,0.7481,2.6067,7.2861
92,3.7096,3.2334,13.8511,0.6238,2.1531,13.0465
93,3.9235,2.3393,5.684,0.3883,2.6785,5.4394
94,3.0257,2.0607,13.5139,1.8672,2.229,8.7377
95,3.9694,3.005,18.5253,0.436,0.2817,19.0718
96,2.7221,2.5072,18.4095,0.3267,3.4354,11.2711
97,2.8523,1.5871,14.5327,0.4661,4.8144,10.8728
98,2.4239,2.8394,1.4374,1.5656,2.168,8.4939
99,0.6144,3.3805,17.5092,1.7901,2.1763,11.3584
100,0.9855,0.2308,13.3267,1.6407,0.3243,19.6991
101,0.6414,2.3828,6.5535,1.1702,4.4629,5.4492
102,3.3638,0.3826,4.1514,1.9884,4.6527,18.8676
103,1.9146,1.0134,2.766,0.2308,4.0844,3.4069
104,2.7886,2.8465,1.4796,1.7477,0.6211,2.6666
105,4.584,4.3443,15.205,0.9127,4.5111,13.2661
106,1.6218,4.4257,5.0989,0.9647,0.2174,5.398
107,2.3467,0.4427,0.9729,0.3424,2.2784,9.1656
108,3.9,2.1536,8.2468,0.1635,2.5531,14.7283
109,1.5296,2.9567,9.9108,0.7016,4.1866,10.9294
110,0.8464,0.8206,3.8,0.4322,3.7792,0.7681
111,1.8039,3.8506,1.3589,1.0183,4.0058,6.4639
112,1.2255,3.7468,4.1879,0.3799,4.3527,1.7614
113,4.6836,4.5264,13.7425,0.3621,2.4327,18.5592
114,4.1365,0.1416,2.1038,1.7663,3.9232,15.9956
115,3.3503,1.1618,11.3232,1.8505,0.4334,19.6849
116,4.4216,4.1532,3.355,1.932,2.2783,17.7596
117,4.1165,3.3858,4.3159,1.393,0.2477,9.769
118,1.3396,4.4825,8.165,1.5649,4.585,17.7107
119,4.5165,0.3802,2.4661,1.688,4.7962,13.6126
120,2.927,3.0251,3.8775,1.352,0.5113,10.7297
121,4.1335,2.8883,7.3046,0.7275,2.7099,7.7276
122,4.5324,0.2748,6.9285,0.3971,1.6932,13.7788
123,1.931,2.6163,15.1108,0.5508,1.7784,12.0076
124,0.9952,3.0866,1.9583,1.6968,2.3084,12.4766
125,1.5257,1.0373,17.2788,1.4226,0.7128,8.2967
126,2.422,1.4393,16.4165,0.966,0.9858,14.9166
127,4.1811,3.2377,15.4368,0.1559,2.9291,2.0862
128,4.3733,2.3947,6.5328,0.6058,0.1919,14.6601
129,0.5313,4.3043,16.5462,1.4849,3.039,14.7498
130,2.7984,1.7777,4.0646,1.0735,1.6627,10.5609
131,2.3783,1.4066,2.926,0.9275,4.1778,5.634
132,1.4995,4.9258,1.3766,0.696,3.04,10.6259
133,1.0394,4.5646,18.8166,1.2532,3.5696,2.9002
134,2.0193,0.2421,6.5062,1.9361,0.6607,6.0603
135,4.7431,3.8766,18.3935,1.8121,1.4027,8.7153
136,1.9544,0.6406,5.816,0.1579,4.9837,13.6281
137,2.8346,0.2347,18.1975,1.0138,2.2249,4.1507
138,3.6636,1.4411,18.1266,0.726,1.8584,3.5843
139,2.1363,1.4198,18.5117,1.0701,4.3819,12.352
140,4.873,4.1147,10.175,1.2518,0.2621,13.7511
141,4.831,3.5823,17.386,0.4801,2.7204,2.1313
142,1.633,4.9099,19.0399,1.585,1.1303,1.1467
143,2.7376,3.5864,6.83,1.0026,1.9039,3.3694
144,1.854,2.1495,8.6681,1.9848,1.0789,18.07
145,1.7818,3.5247,14.5252,0.1477,0.2853,13.6165
146,0.666,4.9973,6.357,0.4605,2.1409,18.46
147,3.243,3.5797,15.1993,1.4103,3.9671,13.4619
148,2.7621,3.8322,1.9409,1.4208,4.7646,19.3221
149,0.7317,4.698,10.7082,1.2062,3.1569,9.0587
150,1.7539,0.6569,2.8851,1.9467,2.0053,12.1824
151,4.5872,3.5534,6.2198,0.8891,3.8723,12.2231
152,1.578,4.2689,5.5432,0.8924,2.5756,0.5612
153,1.152,4.7765,16.8592,1.8299,1.9013,1.0354
154,2.7025,1.1337,4.2736,1.123,0.9775,3.3327
155,4.9354,2.5693,16.2647,0.7721,4.001,10.467
156,1.5892,3.4347,15.9822,1.466,2.5521,8.8953
157,3.5246,1.3126,10.2282,1.2774,4.8226,11.0251
158,3.9273,3.0423,5.0599,0.6822,4.0294,16.1096
159,1.5694,1.3621,4.9245,0.6661,2.1581,16.5337
160,3.777,1.7339,9.566,0.8517,3.7302,19.5518
161,2.155,2.2634,0.6718,0.2361,2.3216,11.3722
162,3.3454,2.693,10.8613,1.891,0.4913,7.2707
163,3.3509,2.3019,19.0792,0.4477,2.6317,6.5065
164,2.911,2.5167,3.5168,0.4683,4.3421,7.1445
165,0.9063,1.5631,11.6802,1.3294,4.2917,6.8147
166,4.2589,0.8789,19.2547,1.4761,2.9173,8.1619
167,1.9435,0.332,17.2802,1.5,1.9621,1.9602
168,1.3393,1.0603,17.0824,0.8126,0.1495,12.8519
169,0.6835,2.9515,16.5261,1.7593,1.6259,11.5768
170,3.159,3.952,6.526,1.1336,4.9501,9.5082
171,3.549,0.9293,17.867,0.9333,3.6598,2.0816
172,0.5746,0.6319,18.8561,1.6397,3.6162,2.3176
173,2.8044,3.7715,10.168,0.5628,3.8293,11.1296
174,1.5192,1.5953,7.4141,1.7344,3.1386,1.2133
175,3.4033,4.7623,8.5775,1.1238,2.9707,14.6334
176,1.2846,3.6002,7.017,1.8101,2.3227,19.8787
177,3.6092,1.7011,4.6422,0.4831,2.2753,12.1494
178,2.2403,1.5188,12.5597,1.8785,4.3672,14.6069
179,4.7153,2.6661,11.4706,1.407,2.0279,9.0593
180,1.1188,0.4878,9.5204,1.2748,4.2174,13.5145
181,2.0348,0.6766,2.369,0.9019,4.2049,13.2097
182,1.0106,0.9617,16.0394,1.917,3.8774,16.5698
183,4.6611,3.8961,3.9112,0.9434,0.2844,14.3711
184,4.448,2.6179,2.734,1.0472,0.8251,15.1065
185,1.6607,0.1518,12.6499,1.5848,1.6421,11.3544
186,3.4699,3.4002,8.2736,0.6412,4.2529,9.948
187,4.1775,2.1761,1.6663,0.6538,4.379,9.445
188,2.9984,2.6032,7.4336,1.5731,0.3036,8.1442
189,2.8834,1.1492,15.5497,0.3443,1.6912,5.6875
190,1.5883,2.8037,12.4974,1.6636,4.2669,1.1496
191,0.919,4.8979,7.5743,1.2878,1.3235,13.5864
192,4.5375,0.4599,4.2402,1.1243,4.8824,18.0687
193,4.5519,1.4912,12.82,0.5353,2.4976,18.6444
194,3.349,1.2907,17.8073,1.5941,4.6928,11.821
195,2.0256,1.3179,13.1023,1.6294,2.2012,2.3357
196,2.0714,1.9557,16.3516,1.0176,1.6866,17.634
197,3.7668,4.1087,10.6698,0.8394,1.8758,15.081
198,4.537,4.573,14.5004,0.5677,4.4331,5.4025
199,4.4919,1.0909,17.9764,1.533,1.7204,16.1691
200,4.0094,2.7605,15.577,1.315,3.3798,9.7042
201,3.3891,3.2208,18.2422,0.4926,2.4022,17.8081
202,0.8786,2.657,8.9072,1.6095,4.7142,5.3284
203,1.2273,2.227,18.1323,1.7762,0.8809,16.1177
204,4.5435,1.0407,12.6206,0.2126,2.2004,14.3823
205,3.2289,2.4923,17.466,1.5676,0.7107,0.7816
206,0.5414,2.066,1.2678,1.7203,2.9329,11.485
207,0.9566,3.9983,13.3281,1.9839,2.0742,14.4529
208,3.4858,3.8417,17.0355,0.5514,0.3986,3.55
209,0.5228,0.7566,3.8969,0.8049,4.2642,10.872
210,1.2236,0.5337,13.4048,1.9358,1.94,6.4295
211,2.9693,4.55,16.5866,0.2786,2.5188,14.0769
212,3.6135,2.724,6.115,1.095,2.0968,11.0327
213,3.4338,4.3032,8.4023,1.0628,2.4944,12.6184
214,1.5092,0.3849,11.6056,1.2524,0.18,1.9145
215,3.7048,2.6799,10.6238,0.7285,4.0958,3.187
216,1.5676,2.7432,1.2642,1.8592,1.7283,11.2657
217,1.9643,4.3174,2.4241,0.6131,3.6499,4.0329
218,3.8592,0.5783,2.4591,1.3344,0.4179,10.2245
219,3.4233,1.2782,5.6142,1.0423,2.6667,13.9556
220,4.3215,2.092,5.2944,0.6067,4.5531,16.2905
221,3.4593,4.3426,14.9733,0.4588,2.0514,3.2886
222,3.0574,4.7005,11.6685,1.9175,1.0666,14.9666
223,0.9215,4.9644,15.3975,1.1665,0.5855,7.5821
224,2.1547,4.8,1.863,1.248,4.3095,13.7392
225,1.6934,0.1291,9.9617,1.5875,1.2702,3.3331
226,1.598,0.3338,6.8136,0.2543,4.8778,10.5459
227,4.8785,0.8233,17.0738,1.4562,1.3143,16.8325
228,2.2689,1.8094,14.3019,0.4138,2.4569,2.5754
229,4.5142,4.1666,17.4505,1.5069,2.3442,16.6398
230,3.3401,4.474,1.4053,0.3685,0.4038,9.329
231,4.0767,1.0155,14.5561,1.6817,2.706,16.5538
232,2.7619,3.1364,11.0302,1.3939,3.3959,19.1886
233,3.0961,4.5951,16.5875,0.8332,3.7365,3.6132
234,2.7163,2.3723,10.3896,0.7818,2.6607,13.6541
235,1.3786,0.6074,11.0341,0.383,4.0817,5.0844
236,3.751,2.3433,1.5095,1.8177,3.7853,3.1433
237,1.7635,1.9414,13.5362,0.3252,1.0505,12.7476
238,0.6094,2.9305,5.8262,0.9969,2.0678,2.6057
239,3.4046,2.2494,0.884,0.5494,0.7987,9.5709
240,1.297,0.185,1.7955,1.993,0.7538,12.9011
241,4.7321,4.9706,19.1671,1.2131,3.5894,10.2428
242,4.7927,2.7633,7.2485,0.3842,2.6992,14.0929
243,4.6169,2.4208,17.4275,1.3684,3.0447,16.1275
244,2.1657,4.7776,19.2137,1.9841,3.6877,17.5088
245,0.5696,0.8637,18.8937,1.2496,1.4585,11.4175
246,4.6774,1.0273,17.6936,0.969,2.0667,5.8943
247,2.4268,4.0593,17.9495,0.6572,3.0733,10.4384
248,4.8499,1.3781,6.1357,0.275,0.5735,8.0599
249,4.8363,4.0162,3.4537,0.5337,4.182,4.9055
250,4.3385,1.4305,12.9656,1.1519,1.7829,10.8168
251,1.825,0.2626,10.0181,1.5322,3.3279,0.9418
252,2.2329,2.6334,2.4256,1.7681,4.9783,12.3085
253,4.3301,1.0638,13.7121,1.6081,2.4293,16.5213
254,1.9261,3.8134,11.4758,0.3384,1.1537,19.989
255,1.2627,3.2419,17.3298,1.5696,1.1605,18.4727
256,3.0056,4.6257,12.3791,1.205,0.3958,2.2514
257,4.7127,3.9366,11.692,0.9913,3.8587,3.6674
258,3.6321,0.9858,9.0947,1.1883,1.5378,3.2036
259,3.0653,4.0208,9.5243,0.1153,0.9464,11.3879
260,0.9373,3.2445,19.1104,0.2287,3.5971,1.3958
261,3.2675,3.3779,3.1997,1.0991,1.6148,18.7714
262,4.9552,4.1781,9.2013,0.4299,3.0423,1.7058
263,1.1304,2.9117,13.2886,1.1365,2.1473,8.1294
264,2.8325,2.3834,8.9437,0.773,1.7373,17.9324
265,4.4482,3.2195,6.0227,1.8241,2.4982,18.9934
266,3.8335,1.56,6.1035,1.9044,1.6376,9.5732
267,3.6366,0.9947,5.0563,1.9616,4.3658,10.0244
268,3.6612,3.1213,7.2061,1.808,0.4579,12.9055
269,2.1177,1.2459,17.4977,1.9732,0.2478,8.449
270,1.8212,0.4916,10.3519,1.4417,2.0913,6.8309
271,4.1421,0.1027,5.1847,1.925,0.9469,14.9188
272,4.1455,3.0808,7.9983,1.3194,3.7443,12.1095
273,4.4018,1.8745,2.5637,1.6375,1.8318,9.8926
274,4.6096,3.7863,18.1287,0.3506,1.381,2.4654
275,2.801,1.9384,8.4599,1.3969,1.861,1.8428
276,2.7568,2.4814,19.6176,1.8691,1.1755,10.4609
277,4.0923,2.0947,7.277,1.1261,1.5683,12.5789
278,3.4248,3.2878,16.8089,0.455,2.8831,13.3215
279,3.6589,1.8451,5.4995,1.1011,4.3338,17.9504
280,4.0811,4.8225,1.985,1.4432,1.9173,16.4164
281,4.505,4.6871,1.1188,1.5626,1.6713,3.2449
282,2.021,4.2553,12.3203,1.095,3.9308,15.9914
283,2.1901,4.6095,6.5757,0.513,0.2099,13.6879
284,0.9229,2.3008,9.1486,1.8607,1.5802,16.6466
285,3.1023,2.7285,16.4636,1.5699,2.3156,16.9454
286,0.6617,3.7363,5.3381,0.6143,3.0432,7.2379
287,2.5952,3.5111,6.5187,1.6424,0.8647,5.6337
288,2.9419,4.4643,16.9841,0.7609,2.221,11.2764
289,1.7894,3.61,10.1089,0.6936,2.8749,6.3228
290,3.1587,4.9896,16.6395,1.7398,2.6002,7.3189
291,0.6373,1.8077,7.8023,1.7591,2.9153,1.8486
292,0.6681,4.1817,8.2682,0.8571,3.3458,19.8316
293,4.2017,3.5184,3.7592,0.117,1.9589,6.5313
294,2.1209,3.4878,18.3687,0.4545,0.4118,15.7114
295,1.0718,1.6966,17.9873,1.8277,0.3722,19.8666
296,2.8501,3.9494,19.6922,1.8076,4.3077,19.398
297,3.965,4.5118,8.3477,0.9614,3.4194,12.8607
298,1.4712,1.1709,16.463,0.6778,3.8445,11.0039
299,3.303,3.1649,8.5916,0.6752,4.6511,6.5309
300,0.8841,2.0215,9.3588,1.8047,3.7777,17.2994
301,0.7326,4.9488,16.685,0.717,3.4923,7.0909
302,2.8911,2.4463,3.9587,1.072,3.3132,2.5811
303,2.9329,1.2188,4.7961,1.4889,1.367,6.2349
304,3.3684,1.9711,6.6372,0.498,4.7907,6.6444
305,3.7674,3.3038,15.8695,0.5823,2.756,14.5105
306,4.8913,0.4728,7.7667,0.7803,1.1882,3.8061
307,2.8234,3.0576,7.4843,1.343,1.1281,6.6788
308,1.9533,4.663,19.9769,1.6532,4.0948,1.9934
309,4.0783,4.2668,7.9842,1.1387,1.326,17.0438
310,1.7187,0.4316,5.3315,0.3526,0.303,14.6331
311,2.4754,4.9676,12.6527,0.9479,2.1992,9.031
312,0.8531,3.5238,16.1367,0.3426,4.105,8.8853
313,0.6141,0.8952,1.8574,0.2678,2.1308,3.7443
314,4.8319,0.1608,12.5684,1.2203,4.0374,7.9972
315,4.2619,0.9393,1.1968,1.9168,4.1533,18.1831
316,3.6319,4.2071,10.7635,1.6915,4.3028,3.2038
317,2.3403,0.206,5.5113,1.5715,2.9856,15.4181
318,1.2798,1.2424,6.4795,1.4814,3.5274,1.4199
319,1.204,3.8108,9.6084,1.8045,1.3831,6.5778
320,1.6261,2.9719,18.5786,1.5304,0.5885,17.0153
321,2.9715,3.9354,14.358,1.2911,2.7106,9.1772
322,3.7157,3.7561,18.7685,0.7929,0.1519,14.2025
323,3.4709,0.3479,13.3694,0.2918,2.3821,2.5191
324,1.7597,4.4733,0.6386,0.976,0.6003,13.8268
325,4.7969,1.2125,5.6789,1.8571,0.6313,16.4709
326,3.8205,2.8116,18.1626,1.2079,4.3668,16.2023
327,2.9946,3.257,13.0472,0.4506,3.2385,9.058
328,3.2527,0.9263,19.6421,1.3331,3.2616,18.1308
329,2.3882,4.8835,3.5413,0.9844,2.0819,11.712
330,1.6148,2.492,6.2866,1.8696,2.1249,16.4485
331,2.1019,0.3824,7.5662,0.4058,1.5852,4.6625
332,3.9103,4.6926,6.8679,1.4528,2.2284,4.5997
333,0.5648,2.9727,5.4138,1.395,2.9769,15.2101
334,1.0223,3.526,9.1476,1.9687,1.0143,13.1094
335,0.707,2.6734,13.0248,1.1733,1.3822,13.688
336,0.6833,4.1902,6.5695,1.756,2.5243,5.1131
337,4.3496,0.2624,2.0541,0.147,1.9854,8.2926
338,3.6665,1.4151,14.3164,0.3335,4.1155,5.5384
339,2.6338,2.4013,9.4508,0.7573,4.1263,1.8285
340,0.9403,0.4754,11.3514,1.2767,1.7464,4.4769
341,2.7123,3.5589,9.3803,0.9533,2.3089,19.9057
342,2.6306,2.029,17.862,0.4851,4.8853,5.0638
343,1.2794,1.4361,11.3955,1.2195,4.1546,3.6062
344,2.4523,0.1166,18.5039,1.1767,1.1567,14.0891
345,2.2933,3.6272,10.4562,1.0965,1.4731,12.2418
346,3.2713,4.1857,6.2055,0.2721,0.5091,15.0473
347,3.3579,2.0357,7.4311,1.8613,3.4213,13.2466
348,0.7039,2.8647,10.6815,1.2253,1.6528,4.8484
349,2.1858,1.2157,10.8348,0.6016,2.7293,10.2677
350,3.3164,3.1488,13.9031,1.4061,3.8639,3.9445
351,2.7641,0.1595,4.8777,0.704,4.1966,5.444
352,4.3542,2.4944,13.3474,1.0611,1.6943,19.7449
353,3.4641,3.2566,15.6825,0.7482,1.2625,14.7093
354,1.2332,4.5991,13.6935,1.7727,4.2578,15.7656
355,0.8176,1.9685,9.8956,1.9886,1.9682,1.0862
356,3.3909,3.8494,19.8378,0.4062,4.1278,7.9516
357,0.6193,3.0287,8.3939,0.1448,0.8338,11.3274
358,3.136,4.6424,2.5785,0.5167,4.5684,3.4186
359,4.731,2.0521,16.5193,1.2209,2.4673,17.0467
360,3.0896,1.6636,4.6379,0.4305,0.9337,3.2222
361,2.2468,4.447,14.4091,1.6418,2.7218,12.9119
362,3.3948,0.3413,3.99,0.8765,4.3631,11.2872
363,2.5621,0.7683,0.8291,1.26,2.0077,17.0616
364,2.9553,0.5038,3.6161,0.9657,0.9725,6.5803
365,4.7366,4.2312,7.8513,1.8163,2.9251,6.0396
366,2.2375,0.152,2.5791,0.1668,4.1889,17.0051
367,4.8254,4.3221,4.3547,1.4857,0.6946,4.8174
368,4.5741,2.3112,15.4102,1.3391,0.3029,15.0478
369,1.3811,0.1197,15.5127,1.3341,0.3758,4.2273
370,0.8121,2.0681,16.441,0.8866,1.2294,17.5761
371,0.9535,1.0153,16.9025,0.1298,0.1358,16.8617
372,0.582,3.1596,8.6985,1.4096,2.2005,15.8555
373,0.925,3.4289,17.4172,1.676,3.519,10.0837
374,3.5735,2.4889,10.7558,0.2619,3.5812,1.1599
375,0.8203,0.2985,9.6766,0.9391,3.2199,3.0831
376,1.9354,3.315,14.5115,0.4089,1.5514,9.4038
377,4.3019,4.226,4.6695,1.2608,3.7061,1.3511
378,0.6047,3.6296,15.8952,1.5926,2.9248,1.7377
379,4.1651,4.1668,8.8746,1.3667,4.3198,2.9473
380,1.7683,1.0825,2.9823,0.7043,2.4422,5.5865
381,1.0317,4.4556,2.8266,0.3655,0.9827,15.1118
382,3.6353,1.6787,3.7157,1.6091,3.2098,1.4357
383,3.3302,0.1657,17.8662,0.7154,0.8388,19.681
384,4.4486,4.2326,19.8233,0.1421,4.8194,5.8397
385,3.8078,4.7149,7.461,1.1857,3.5461,6.7439
386,4.1157,3.3122,6.1968,0.5687,3.806,5.3338
387,1.7692,1.234,4.766,1.6983,3.4284,12.2466
388,1.2985,1.3335,16.5644,0.3722,0.578,0.8788
389,3.8778,2.3863,4.5795,0.9261,2.38,2.3246
390,4.1308,4.4994,18.5198,0.5809,3.2919,2.4262
391,4.9573,0.833,13.5133,1.4102,1.2238,13.4584
392,2.3568,4.1473,17.994,1.1422,3.4296,6.9257
393,2.1741,1.5274,11.3032,1.6029,4.1174,9.0311
394,3.9939,4.0621,13.9683,0.9714,1.4472,19.0245
395,2.0336,4.6093,12.5794,0.1091,1.0781,4.4008
396,4.6884,2.1947,16.7083,0.5089,4.4275,1.8688
397,4.3629,1.8887,16.7993,1.9984,0.1255,9.1078
398,2.4305,4.0309,12.001,0.8702,1.3532,3.6994
399,3.8789,2.6945,12.8339,1.2784,2.093,3.3208
400,3.8954,3.4538,18.4766,1.8194,3.3941,8.4976
401,0.9641,3.1519,18.6324,0.139,4.9856,13.5582
402,4.5615,0.8492,13.4529,1.3533,1.917,5.2356
403,2.7736,4.2395,0.6512,0.6479,4.7492,17.5813
404,4.2191,1.0593,2.536,0.6306,1.8972,7.5677
405,1.9402,4.6682,17.2299,0.5272,3.5081,18.7139
406,4.5299,1.3278,2.1519,1.6632,0.9103,10.1017
407,2.2514,3.696,4.6636,0.8086,2.356,14.6714
408,0.5488,1.4948,4.9957,0.2275,4.3692,17.0558
409,4.5742,1.6571,12.2046,0.284,1.668,10.8295
410,0.9108,1.619,11.7443,0.3824,0.6155,17.0813
411,1.9369,3.7647,6.1436,1.808,2.6613,7.8706
412,4.7753,2.8284,4.5484,0.9121,2.2537,7.5864
413,4.7777,4.4265,15.4084,1.8405,1.2247,15.9842
414,3.0805,1.6061,18.7414,1.6532,4.5375,5.2048
415,3.3433,3.4908,1.5297,1.692,3.0483,14.4823
416,2.518,3.7894,3.097,0.645,1.8012,2.0032
417,1.8194,0.8423,13.0222,0.6155,4.981,12.8947
418,1.979,2.0629,16.1866,1.1641,0.7741,18.8672
419,3.5263,2.4658,15.9282,0.8941,4.255,9.4011
420,3.8857,1.8429,14.5338,1.0672,1.2301,8.6113
421,4.0621,1.6784,17.8048,0.2011,1.2736,11.0405
422,4.0533,3.4635,4.7383,1.946,2.541,14.5315
423,0.9104,1.1577,2.5922,0.2105,3.3435,7.4973
424,2.7249,3.576,12.4996,0.4398,3.4833,0.5025
425,0.759,4.6817,16.5344,1.3886,0.2084,10.2907
426,2.9729,2.8695,11.8498,0.3955,1.5056,8.6759
427,2.4869,3.096,19.2785,0.3031,3.337,10.8877
428,4.4947,0.4378,16.0135,0.3919,4.4597,14.4486
429,2.0791,4.3359,14.1654,0.2176,3.3825,6.0261
430,1.0268,1.4987,1.675,0.5775,1.4028,10.3526
431,1.1435,3.1138,2.601,0.6151,2.5881,5.4411
432,3.9268,4.8976,15.8043,1.0474,3.2731,9.4573
433,3.282,3.018,4.3656,0.9336,0.7632,7.2185
434,0.9551,3.6511,1.0623,1.0001,2.77,7.6963
435,0.8785,2.2821,18.2598,1.2705,2.4112,11.7975
436,3.6544,0.3958,17.8707,0.5388,1.7496,13.9474
437,0.8274,4.0082,4.7604,0.3559,3.1553,0.7468
438,4.1984,0.2715,15.714,1.7699,3.2175,17.5945
439,3.6781,3.5332,1.4356,1.3045,4.8602,7.6045
440,0.8661,0.2123,6.0586,0.2153,2.1987,13.0504
441,0.8818,4.3253,12.6615,1.926,2.7032,2.8867
442,4.9399,0.8724,15.382,1.4168,0.8718,11.6434
443,2.1842,2.6199,0.7028,0.3882,2.787,13.73
