ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),S1,S2
110,0.5459,1.8376,0.5303,1.1523,3.0566,17.4256,33.9184,58.030003
111,4.0986,2.6912,8.5488,0.2657,0.6544,4.9869,2.2774723,27.569609
112,2.7229,4.2987,0.8089,1.1167,4.8246,3.4471,104.02556,637.59784
113,4.8866,2.5189,2.1477,0.6018,3.5297,7.5142,65.07783,403.31274
114,4.3379,0.1204,11.6681,0.827,2.9059,13.1562,63.017014,543.72974
115,2.6546,4.937,7.7188,0.1557,1.6917,10.3681,10.4606495,118.80284
116,3.0542,4.9381,17.7243,0.2891,2.3466,14.647,49.057156,498.23004
117,4.3941,0.5183,3.1898,1.0793,2.2578,14.1175,23.311153,94.6183
118,1.3498,1.9917,8.8708,0.5304,2.9739,4.3614,59.25705,500.52112
119,3.952,3.2973,12.5638,1.9315,0.1336,5.3153,2.2415626,65.695984
120,4.3445,2.7261,5.86,0.8696,1.5623,5.4127,6.970137,52.93642
121,3.8926,1.9514,13.0845,1.6077,1.7093,16.8411,40.939907,377.55078
122,1.2057,3.3495,8.956,1.9924,0.1301,2.1134,21.127052,174.46269
123,4.7911,0.3954,6.7824,1.218,0.1875,15.9505,46.878036,338.771
124,4.0646,2.6373,5.2731,1.0178,1.669,16.1068,16.001303,88.10913
125,3.4065,0.1645,16.9626,0.9175,3.8177,8.0624,102.22107,912.471
126,2.4802,0.4199,11.1391,1.2672,3.0923,11.6591,74.28067,627.81104
127,4.3054,0.6558,18.9797,1.8415,0.5631,1.5886,-5.081103,67.763054
128,4.4519,2.2324,17.2728,1.2882,2.6564,6.211,63.000237,627.8435
129,4.0145,4.3544,19.542,1.3521,4.9873,14.0823,135.7265,1146.1475
130,2.2706,4.3895,16.3815,1.9331,4.5287,6.0228,127.85083,1099.5292
131,3.054,1.9817,16.8944,0.5376,0.882,6.0932,6.035544,163.43962
132,2.8713,3.3239,18.2954,0.8782,4.5804,3.9755,124.77411,1109.3832
133,2.2257,1.9191,10.8778,0.6207,0.8715,2.9982,-5.060883,1.2433175
134,2.6509,1.0445,5.6883,1.4804,4.2471,0.6869,106.701416,766.5168
135,0.5045,1.748,2.141,0.8644,0.4304,18.122,32.668343,164.9955
136,3.1359,1.9216,19.9944,0.729,4.9372,3.0804,138.11307,1231.0178
137,4.0641,1.0005,5.8164,1.6672,1.98,18.7613,27.466988,147.0819
138,2.2242,3.9806,9.7729,1.8205,3.7915,19.3178,78.21415,563.9523
139,1.1224,0.2298,3.6896,1.4939,0.8622,16.2605,22.452686,108.590225
140,3.3152,0.8304,9.8558,1.8112,3.1355,11.9373,78.084465,634.9733
141,2.9291,4.2086,10.6097,1.6521,0.8923,9.5803,11.546614,164.29503
142,2.4947,4.8773,9.3945,0.2885,1.7342,9.2196,15.348171,175.55705
143,2.6304,3.8569,3.328,1.6556,2.837,0.5913,48.72905,300.5371
144,2.5593,3.0415,19.3865,1.2433,4.7271,14.8896,126.944046,1077.335
145,2.7529,1.7751,9.3808,1.718,4.9833,11.268,135.06023,1020.9649
146,0.8846,0.1524,15.2103,1.4993,0.3941,6.6382,4.5055113,109.2531
147,2.3369,1.7339,2.3129,0.5065,4.1463,18.6568,61.816376,276.92102
148,4.3942,1.7414,3.3976,0.997,2.4197,16.4939,23.799541,75.25435
149,4.5893,3.6914,19.2075,1.2007,2.6784,2.5597,59.3126,624.01825
150,1.445,4.0536,6.0048,1.3431,0.524,16.1065,30.422592,206.88362
151,2.8282,2.3326,18.5191,1.4669,2.089,10.5638,49.513264,518.5842
152,4.7659,3.1491,12.6438,1.8129,2.2139,11.0625,49.719566,463.10242
153,4.695,4.7926,13.0621,1.0946,0.128,19.0774,74.068306,605.5025
154,2.1056,1.7528,13.3836,0.4724,3.981,17.6843,88.24341,711.1294
155,0.8282,2.8377,7.3599,1.5146,4.9282,9.5564,128.70897,944.9559
156,4.1883,3.1452,6.9921,1.0768,4.7637,6.0244,120.35379,889.9932
157,1.6933,3.6217,4.1938,1.4076,3.3253,19.6742,45.253765,190.4688
158,0.8353,1.7219,17.0124,1.3628,4.8083,13.8829,132.10995,1099.3889
159,1.1264,2.0645,13.8566,1.7831,2.6466,11.5687,65.57497,594.05084
160,0.6648,0.3267,11.1577,1.6036,4.1805,13.9056,109.579254,862.38995
161,2.3183,2.3536,3.3085,1.7292,2.0786,15.6533,20.42847,60.589306
162,4.4384,1.6537,13.7233,1.2613,1.5704,6.5161,23.126446,279.51123
163,1.9537,1.8705,15.6281,1.8374,0.769,8.6475,16.942917,246.4162
164,1.0298,4.6866,5.7281,0.4437,3.1287,19.563,38.005974,186.54301
165,3.7404,2.7378,18.7149,1.3521,2.9462,10.7695,74.59616,710.1149
166,0.6849,0.8652,2.0877,1.7119,1.5847,10.9714,8.991226,2.9307766
167,4.9595,4.8695,15.2227,1.7905,3.3028,7.6958,86.4742,774.2889
168,1.8407,0.5974,17.6205,0.4041,0.9695,10.658,22.08127,299.12708
169,1.5876,3.9627,14.3205,1.8386,1.1738,10.5535,25.612862,308.97607
170,2.1941,1.9639,2.4045,1.2276,4.685,4.4539,109.83007,722.816
171,4.3316,3.8769,4.7067,1.6855,0.6095,19.0024,34.79851,204.38007
172,3.3799,0.2861,13.1624,1.1372,0.7821,16.3496,45.574467,409.4864
173,4.0902,3.9421,9.1434,0.4841,3.2437,19.5212,52.378902,365.53995
174,3.2002,0.7273,0.9267,1.2231,2.0229,19.3819,13.871017,-43.681705
175,1.2053,1.9612,8.1064,0.2928,0.6488,9.2204,4.7226725,48.993107
176,1.4039,0.455,19.3184,0.1621,4.4429,5.2422,118.38451,1068.681
177,2.7668,1.7687,11.8769,1.2346,1.43,5.3897,14.563515,195.02834
178,3.2532,2.9691,17.7553,0.9188,3.5344,16.7407,83.01169,727.0263
179,0.5396,2.3727,4.7658,1.4166,0.7457,9.6195,4.952316,28.427788
180,1.0131,4.9868,12.1938,0.5522,0.1255,6.6058,6.3171663,93.931526
181,1.134,1.3968,12.4366,0.8888,2.9884,12.4176,67.741776,590.50433
182,3.0579,1.987,14.7432,0.3306,1.5807,12.2666,29.494396,342.42426
183,1.0988,4.8351,16.038,1.4171,3.9286,18.7429,91.29985,745.0931
184,3.2772,1.4819,16.5373,1.7872,3.344,17.249,81.42107,696.7344
185,0.8892,3.726,16.6859,0.2245,0.3662,10.3003,19.9656,245.80202
186,4.832,0.801,17.1164,1.9301,4.5615,15.5557,125.02199,1033.7166
187,4.3896,3.1942,9.6162,1.0933,4.282,19.5465,87.98953,630.5022
188,1.8515,2.5749,18.7595,1.2582,3.0123,1.4981,71.708435,720.4927
189,0.8422,3.4294,13.7649,0.7932,1.6979,11.6071,30.93532,342.864
190,3.753,1.8375,16.5338,1.9686,2.0042,5.4477,45.180023,483.03564
191,3.1949,3.1168,4.5412,0.6073,1.4618,13.7086,7.0487204,34.553806
192,0.7028,0.9099,19.0944,0.5404,3.0524,10.7193,73.701385,713.2767
193,1.4554,2.5291,13.2326,0.4075,1.1253,3.7922,-1.2940371,71.61766
194,2.6248,4.9398,17.1222,0.6215,3.8955,14.7275,92.53337,802.1646
195,1.6059,3.3476,2.1334,1.218,3.0293,12.253,46.167965,237.1978
196,3.8269,4.3253,4.8641,1.9666,3.9305,18.2878,69.64467,399.60617
197,3.089,3.0744,1.7104,1.4768,2.9034,17.8426,32.334915,67.7625
198,2.5544,1.1513,4.0408,1.9408,0.7466,11.4627,9.757185,49.62547
199,2.607,0.224,2.7803,1.3226,4.16,3.6807,99.386696,659.8636
200,1.4331,2.0628,13.0376,0.4689,0.7864,13.9242,29.236921,297.41708
201,2.3635,0.3071,0.9938,0.5045,0.9585,0.9997,69.69934,252.93877
202,2.8314,3.9168,15.6057,0.6374,2.0361,7.1031,35.123146,389.95145
203,0.8789,2.6391,10.8492,1.9717,2.1734,1.0434,40.76336,387.5176
204,2.5836,1.4077,19.8069,1.1583,4.3945,17.804,112.25569,955.97906
205,2.7689,3.8695,19.026,1.9548,1.0275,14.5072,38.663483,438.28748
206,4.1799,0.1873,6.1967,1.4305,0.7545,6.3739,3.1352744,17.962631
207,4.2063,0.5252,14.8402,1.0431,4.3312,9.9556,117.90506,993.00775
208,0.5157,3.5214,18.2789,0.6039,4.8211,10.8089,129.96457,1113.3219
209,4.8664,2.4574,10.6532,1.258,4.8212,12.9314,125.45276,964.9594
210,3.1807,4.6151,18.5891,1.1972,4.1165,19.8582,96.740974,804.5889
211,2.3635,1.2845,16.2995,1.1326,4.9483,8.5661,139.76888,1172.9922
212,1.0834,4.6234,13.0051,1.7575,4.9599,17.4649,123.982895,948.83563
213,1.0831,4.4372,15.6816,0.4819,1.0615,17.2314,39.336685,398.85922
214,4.3551,3.165,9.4637,0.4697,2.4506,6.6681,41.03501,374.93167
215,2.4009,3.1181,8.1934,0.1752,3.6619,3.5872,77.93969,618.34064
216,3.31,1.6709,15.2213,0.3036,3.3746,11.5683,78.557175,704.71655
217,1.7334,3.6022,11.2826,1.1534,0.1402,3.4712,8.167116,102.61214
218,1.1045,2.5958,16.1071,1.2895,3.3067,19.6248,74.92412,623.61127
219,4.1321,2.2027,11.5083,0.2482,1.2435,1.7787,-2.9210575,18.930916
220,2.4573,4.3642,12.6974,1.4446,1.8526,4.7291,31.226303,338.3849
221,2.0587,2.4977,19.7328,0.2595,2.4726,17.3333,57.99279,575.17706
222,3.7585,1.0225,4.4025,0.35,1.9849,15.4579,15.102846,71.51814
223,2.5271,4.3565,4.6405,1.2815,3.0334,14.4341,47.537514,290.5913
224,1.9404,2.2464,10.6569,0.8348,0.3724,13.5734,34.475754,300.7005
225,4.9341,3.8095,10.6087,0.9382,4.7669,13.356,118.85173,912.3797
226,4.3885,2.7413,9.1286,1.0963,1.8576,14.3949,29.822178,265.6927
227,3.3792,4.0979,13.669,0.1213,0.2949,14.1865,37.83304,354.87308
228,3.1948,3.9099,6.3098,0.9055,4.7766,10.1014,113.77023,814.93896
229,2.4335,4.3732,18.0128,1.6271,3.2227,4.5171,84.00864,801.8073
230,1.6936,1.2795,6.2376,0.7107,0.7193,12.4964,15.000061,114.50345
231,4.3027,0.3339,3.5755,1.9943,0.6288,12.1181,15.129122,78.61603
232,3.1497,2.6721,6.7847,1.8986,2.6728,4.013,59.122253,464.69025
233,2.1683,2.2546,3.3342,1.1847,4.4408,11.8961,97.819855,632.98346
234,3.1944,2.6376,16.2426,0.3581,0.8384,7.6737,8.107298,174.97334
235,2.2713,4.7169,1.484,0.5108,0.5193,6.1949,55.0998,311.27466
236,2.8015,0.4207,18.1169,1.9136,3.7259,12.7958,103.18268,909.2467
237,2.7702,0.6307,12.7864,1.6554,1.8704,2.7211,31.619774,339.78113
238,3.6147,2.4585,19.5613,0.9174,4.6721,16.7783,120.22235,1018.08093
239,4.8766,4.7929,7.4478,1.4188,3.7401,17.3408,70.1725,480.53958
240,3.7997,1.2836,11.922,0.1055,1.5269,3.0188,4.1102805,98.77912
241,3.096,2.3597,1.3035,1.1552,1.1866,15.5046,9.932182,-26.152925
242,1.2307,2.3199,6.9832,0.3157,4.6798,9.7287,110.80371,812.7677
243,2.5039,2.921,16.169,0.3183,1.2294,4.7904,6.1609683,161.5801
244,1.7757,3.0737,10.0591,0.3971,1.6549,3.8584,9.933678,132.75365
245,2.8533,1.279,1.3597,1.1641,4.1006,3.7865,90.277725,562.54034
246,4.9135,3.501,9.8577,0.7336,3.4401,10.819,76.9391,625.6174
247,3.1726,4.5243,10.0207,1.1018,2.4445,4.6637,45.44746,420.94427
248,4.3793,2.971,17.3909,1.4298,0.3507,13.859,42.59736,432.78452
249,3.4633,2.2258,17.7935,0.1301,3.6026,8.9606,86.90426,803.8555
250,2.7186,3.8422,2.311,0.3699,4.946,12.7579,96.90477,582.79816
251,1.3943,2.1173,11.4541,0.626,2.5642,6.264,49.615494,467.5679
252,3.3083,3.7089,15.7612,0.5145,2.5254,15.38,52.835472,500.16223
253,1.5206,1.1655,14.4263,0.7773,0.4392,3.4259,-4.346329,27.3459
254,2.0763,4.9256,16.126,0.5502,4.8577,4.0498,127.773026,1100.4542
255,3.5118,3.0202,2.6785,1.8846,2.8659,17.5006,36.157013,118.285324
256,1.5107,3.4437,19.2655,1.3223,4.8101,4.4358,135.9419,1201.9714
257,2.7138,0.5671,16.2439,0.7876,2.1112,13.4778,46.634125,475.7367
258,0.9441,1.6561,16.6713,1.8408,2.5686,14.5579,63.869637,589.58264
259,1.2227,1.301,4.4047,1.1237,3.7816,10.7637,84.294556,580.6479
260,0.7303,1.4253,0.7689,1.3709,1.2735,13.9814,9.089045,-40.717976
261,1.3022,2.6199,15.8142,1.0157,2.9014,5.2028,68.15568,657.0678
262,4.1347,3.4876,16.9438,1.3057,4.9562,9.0003,138.15271,1163.8839
263,3.0633,3.7332,19.6339,0.347,0.2101,6.7858,6.650709,164.4876
264,1.0645,0.5154,6.7549,0.7203,4.845,11.6223,119.94649,865.2702
265,2.132,4.9619,13.1393,1.1953,4.9724,8.8764,132.47485,1070.269
266,3.5811,0.3856,12.9547,0.7265,1.6386,11.7837,29.168264,321.55066
267,2.5607,1.6683,16.4157,1.9939,1.1824,17.7108,46.774956,454.72858
268,3.9029,0.4384,0.7214,1.6469,2.8345,17.4293,31.988674,50.839096
269,2.0885,0.4403,18.6372,0.2745,0.9964,5.3064,7.213965,186.8059
270,2.0879,3.4587,3.4234,1.9235,4.4318,11.8467,100.8994,652.8868
271,3.2835,4.9597,4.8287,1.8012,1.7473,13.2621,16.561357,90.40312
272,3.795,3.5234,10.7066,0.4431,4.9372,1.6913,124.56239,985.5728
273,1.553,2.059,1.3145,0.3275,1.8556,6.3996,10.891994,-11.072556
274,2.8978,2.74,4.9993,1.0398,4.6658,7.1214,112.92905,798.4738
275,3.8778,3.7089,10.6902,0.2908,1.645,1.7412,6.5414276,99.38492
276,3.9096,1.02,9.2745,0.7868,2.1973,14.4446,36.7601,317.1546
277,4.2825,2.3776,14.3203,1.951,2.581,10.6863,65.01878,596.53107
278,2.3403,0.2298,3.2531,1.9539,1.595,15.5917,14.422134,42.024845
279,1.4897,0.4237,15.5472,1.8415,3.3234,12.1816,89.451935,787.8132
280,0.9222,3.6355,1.9573,1.5132,1.7956,19.3097,12.315128,-28.653008
281,3.1908,1.034,2.95,0.5386,0.6895,2.0624,60.20704,286.2685
282,1.9277,4.6966,14.0989,0.2469,1.0558,14.295,26.805592,304.5659
283,1.6475,1.0199,1.4011,1.7965,1.3294,3.281,15.672136,-7.7456665
284,2.7107,0.907,9.3507,0.8641,4.4579,1.2124,114.966835,894.4039
285,0.7017,0.9391,17.145,1.4595,3.4543,9.3853,93.80084,848.6203
286,0.7016,1.5262,6.4472,0.8173,3.6619,19.9802,60.264908,366.37903
287,3.5471,0.3096,13.6473,0.9399,0.3492,9.2142,14.596148,163.69688
288,3.6384,4.4625,16.1686,1.7051,3.3181,19.1639,75.784485,629.68774
289,3.4003,0.2992,9.8977,0.5111,2.8452,19.1561,50.405407,384.92947
290,1.5268,3.7536,13.957,0.275,1.4686,3.9769,7.604113,152.95352
291,2.4521,3.833,14.4308,1.9575,3.6426,10.212,98.99566,845.7675
292,3.863,2.5493,19.0829,0.6818,2.9262,12.415,69.29227,666.705
293,1.0316,3.3925,17.394,0.1326,4.1453,9.4101,104.35306,923.4869
294,4.023,2.4475,9.8847,0.4076,1.4339,4.0733,3.101684,69.97264
295,0.9603,4.8041,7.1201,1.2509,0.8684,14.0485,16.853107,142.16185
296,1.2775,3.2389,10.8215,0.7243,0.2861,18.0794,62.382126,495.61105
297,3.9442,3.5542,4.3311,0.242,4.2489,10.6608,85.914444,580.1564
298,0.9967,2.7691,6.7144,1.4499,4.9403,4.9656,129.43143,950.4664
299,1.9893,0.1252,2.9396,0.8619,1.642,14.7318,8.567741,6.60314
300,3.9903,2.8803,10.2108,1.6922,3.185,1.209,76.11875,638.34534
301,3.2527,1.8928,4.0217,0.2549,2.3453,13.0212,22.041206,115.905396
302,2.366,2.2272,4.8132,0.6492,3.7939,6.3196,82.794556,592.2202
303,3.8035,3.5447,14.1507,1.3094,0.8649,5.7268,4.408404,129.669
304,3.1143,2.5136,0.6569,1.0623,4.1393,7.2426,84.43526,496.65277
305,2.9374,1.4421,1.3915,0.4827,0.6667,19.3678,30.64304,121.565506
306,3.2988,2.7965,2.5835,0.5791,2.7348,1.6509,36.31304,189.69951
307,3.1878,3.0901,6.4646,0.1375,2.4473,18.6244,26.994436,155.83
308,4.223,0.4409,17.8413,0.7276,2.7753,16.1048,64.50491,605.9902
309,3.9444,1.0233,13.0303,1.6775,0.7514,8.219,10.780502,166.878
310,4.701,1.5737,17.3544,0.4514,4.3959,1.0984,115.47432,1035.2432
311,2.4673,0.4037,10.0209,0.7126,3.4375,6.353,82.51982,684.7924
312,4.3312,2.6358,8.0839,1.1567,0.9603,4.9272,-2.2523816,1.5823491
313,1.4239,1.1353,10.7234,1.5803,3.8224,8.5795,102.34593,832.8614
314,3.685,0.8717,2.6028,1.2009,3.6538,7.3105,79.46593,522.23785
315,4.3421,3.4814,2.234,0.5148,0.2082,9.2887,54.349434,344.32913
316,1.3831,2.7079,1.1475,0.6312,2.8045,14.6858,28.792233,65.39132
317,1.5331,4.9581,19.2237,0.9635,0.8582,7.6815,14.074411,263.9809
318,1.7702,0.8843,9.6033,0.2941,2.3785,8.251,38.74671,359.6462
319,2.3809,3.2601,9.0211,0.4964,3.4426,16.8896,63.18586,472.91687
320,2.4107,4.7939,16.8195,1.8843,3.04,11.6762,78.28151,708.0962
321,3.5295,0.7442,9.4144,0.1571,2.8784,8.8233,55.649452,479.4366
322,4.4465,4.1416,13.139,1.1114,0.6932,16.4281,40.85373,378.49072
323,4.9504,1.1314,11.6949,1.5631,3.322,1.897,85.08942,728.66156
324,4.5205,2.7634,16.6566,1.2515,2.9236,4.3556,70.9586,686.31244
325,1.6018,2.347,8.6255,1.5546,4.5763,11.0444,119.755615,904.44525
326,4.7493,2.2582,11.021,0.3287,3.1845,5.7365,68.109146,594.0245
327,0.7035,1.5368,8.5146,0.8901,1.2108,19.6249,41.969284,297.29883
328,1.8281,4.4597,0.8138,1.1181,2.752,7.8792,38.230133,170.1285
329,2.5134,4.6972,11.3142,0.3499,1.7512,11.5267,23.41222,260.24283
330,4.3187,1.861,19.189,0.6524,0.7176,13.1952,33.62037,392.1132
331,3.9388,3.4983,11.0041,0.2775,2.2072,9.0163,33.478287,331.69037
332,0.5611,1.8937,5.0492,1.8121,2.4418,17.7211,34.139683,167.492
333,0.7848,3.8772,8.0781,0.4222,3.047,18.6288,45.380917,307.29648
334,1.8758,4.0264,4.7741,1.5051,3.9098,9.5704,88.562386,617.53705
