ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),S1,S2
71,0.96,2.23,2.8,1.5,2.92,2.25,17.31746,65.54984
72,4.34,4.11,9.14,1.96,1.33,8.59,13.33764,115.95711
73,1.4,0.47,9.95,0.17,1.96,8.38,14.089162,120.24437
74,1.7,2.06,2.03,1.95,3.94,8.6,17.725088,81.17059
75,1.1,3.22,5.93,1.5,1.58,9.17,16.08108,116.96768
76,3.23,2.27,2.71,1.29,4.0,1.23,18.513231,72.964066
77,3.33,2.34,2.9,0.21,0.1,3.48,17.337193,72.1055
78,1.34,0.59,4.35,1.78,1.84,5.78,16.44969,75.899704
79,2.76,4.58,2.02,1.09,4.56,9.37,18.645351,102.93379
80,0.87,4.18,2.45,0.91,2.39,5.55,17.730242,84.7656
81,1.35,3.18,1.87,0.5,2.9,8.66,17.194782,79.75558
82,2.59,3.18,9.29,1.77,0.35,5.53,11.942617,96.92801
83,1.01,0.99,5.41,0.7,3.39,4.35,15.587764,71.871216
84,2.68,0.69,6.66,1.0,4.04,6.75,14.123993,83.46513
85,4.44,2.49,3.21,0.8,3.16,6.1,17.331581,77.13234
86,4.98,4.36,1.19,0.11,3.13,1.51,17.252691,79.87871
87,1.12,4.92,2.34,0.95,4.15,4.66,16.773539,84.041595
88,4.34,2.64,9.16,0.51,0.17,3.74,12.121241,90.955826
89,3.6,4.56,8.87,1.8,1.88,4.12,9.299151,74.51436
90,4.75,2.3,8.33,0.87,2.31,8.1,13.896584,110.64334
91,3.47,4.61,4.59,0.52,3.83,4.41,14.461206,78.48135
92,3.51,1.39,7.25,0.2,2.78,9.14,14.086465,103.97778
93,3.67,3.5,5.81,1.64,1.5,1.07,17.438643,94.31885
94,3.31,1.78,6.98,1.19,1.81,5.24,14.43082,91.29718
95,3.78,1.68,7.03,0.99,2.92,2.02,13.732628,69.90199
96,3.69,2.82,8.55,1.84,4.25,0.52,8.545085,62.811882
97,1.5,4.22,8.85,1.7,4.99,9.39,9.237101,107.6868
98,2.03,4.87,6.38,0.42,4.46,5.16,8.669377,72.86769
99,3.18,0.43,7.67,0.83,3.05,2.13,13.018246,68.00368
100,3.19,1.19,3.03,1.72,4.93,1.07,20.186655,82.18571
101,1.35,0.41,5.42,0.29,0.28,8.86,15.483639,95.725105
102,4.04,4.92,8.48,0.25,0.64,6.75,11.277693,88.99578
103,4.12,4.77,9.57,1.3,4.24,4.22,5.0499597,70.811
104,2.33,4.41,3.76,1.06,2.55,6.74,17.671274,94.90163
105,3.36,0.6,3.73,0.13,4.97,2.01,20.010405,84.11719
106,2.89,2.39,0.87,0.44,0.41,8.34,17.721842,77.55583
107,1.45,3.91,2.17,1.23,3.75,9.71,17.561949,94.593094
108,0.99,3.93,7.23,0.49,4.23,7.52,10.28344,91.530075
109,4.52,3.54,9.37,1.83,1.59,1.35,10.279078,77.80371
110,1.04,3.79,1.9,1.14,2.64,2.67,16.692884,66.054726
111,3.36,3.25,4.31,0.41,1.36,0.55,17.48342,82.738976
112,1.88,3.84,4.01,1.41,0.39,9.97,16.779882,114.628876
113,3.95,4.51,7.73,1.6,3.33,5.48,9.658402,81.192566
114,2.82,1.86,0.78,0.12,0.82,3.65,18.348425,67.19615
115,4.45,3.75,3.48,0.47,1.96,2.27,17.12612,80.43762
116,4.14,0.5,7.29,1.38,3.19,6.78,13.94181,88.78279
117,1.92,2.4,9.91,0.99,4.01,5.64,10.0836315,95.86471
118,2.47,4.57,2.49,1.83,2.12,9.22,17.912245,105.658615
119,1.08,4.84,4.26,1.83,3.06,5.25,15.655207,85.791885
120,2.52,2.62,1.93,1.62,3.8,7.59,17.731533,78.53021
121,4.38,0.4,4.05,0.59,3.48,5.0,18.001423,78.68472
122,0.95,4.94,2.76,0.94,4.28,1.7,15.548229,76.644226
123,0.91,3.83,3.93,0.11,2.72,2.69,16.399855,72.98949
124,3.22,1.27,5.96,0.61,3.89,8.34,14.4622135,87.30469
125,4.77,4.9,1.67,1.42,3.35,5.88,17.509882,92.633316
126,3.41,0.84,2.95,0.56,4.31,9.05,18.36368,87.19265
127,3.06,1.57,1.59,1.11,3.29,3.74,19.738287,77.38373
128,1.02,2.95,4.36,0.25,3.7,5.68,16.534426,77.12963
129,4.12,4.55,1.79,1.16,4.23,6.56,18.94378,93.5135
130,3.5,1.79,9.37,1.49,4.73,8.82,12.859795,113.9243
131,3.52,1.86,8.43,0.36,0.73,9.79,15.492203,127.090614
132,2.52,1.37,5.03,0.18,1.93,2.55,15.877636,66.09811
133,3.64,2.93,8.6,0.17,0.74,6.14,12.442934,96.10924
134,2.96,2.18,3.01,1.12,3.25,2.18,17.857954,69.429955
135,2.93,0.45,1.54,1.77,1.61,4.69,19.445662,75.25841
136,4.76,3.54,5.88,0.67,4.29,8.37,13.434967,92.7773
137,1.57,3.48,8.16,1.73,2.14,4.99,11.657242,88.722946
138,3.64,2.6,2.39,1.87,1.08,5.0,17.808352,74.91002
139,4.56,3.62,4.81,0.94,4.19,2.73,15.198778,70.59552
140,4.65,2.52,5.82,1.32,4.68,4.42,14.870167,76.18314
141,2.9,2.41,6.78,1.72,1.59,9.24,15.683786,118.47235
142,3.52,3.51,1.11,0.38,3.67,6.8,17.708681,74.87776
143,3.49,0.52,3.64,1.8,3.25,8.13,17.26791,82.98406
144,4.45,2.11,5.55,0.36,0.42,8.04,15.793522,100.67784
145,4.86,4.28,6.64,1.03,0.82,7.34,13.301266,94.0982
146,2.61,2.45,7.25,0.36,4.79,7.95,11.884531,91.06303
147,2.5,4.95,8.63,0.21,3.61,4.2,5.154533,63.511513
148,2.09,1.39,9.84,1.3,2.39,0.99,9.584805,70.4415
149,3.1,0.54,8.61,1.12,2.36,2.76,11.944083,76.005104
150,3.98,3.66,7.42,0.63,3.5,8.83,13.036867,107.612015
151,2.8,1.41,7.03,1.41,4.93,2.29,13.363819,70.916595
152,1.17,1.8,0.88,1.35,3.52,7.09,19.274866,79.99432
153,4.97,1.12,0.77,0.22,1.75,5.11,19.610617,76.417114
154,1.19,0.57,7.2,1.32,4.31,4.25,13.401927,74.81658
155,3.47,0.67,7.33,0.15,3.08,4.09,13.4698925,74.50346
156,4.27,1.73,5.04,0.85,1.04,3.03,15.979794,74.36273
157,0.65,1.44,4.31,1.37,2.89,3.42,16.443628,67.90949
158,2.56,1.63,2.08,0.36,0.84,5.05,17.669882,69.14421
159,0.73,3.93,0.56,0.59,0.63,7.32,17.630041,85.66365
160,4.55,4.05,6.64,1.81,3.97,2.89,10.726608,70.25038
161,0.91,4.37,3.0,0.67,1.83,8.01,17.612257,99.08736
162,1.62,3.4,3.9,0.9,1.08,3.62,17.325722,82.21785
163,4.47,3.88,7.37,1.13,3.79,8.21,12.4898405,103.157234
164,3.26,4.4,1.46,1.82,0.33,5.75,17.543222,91.960945
165,4.47,4.07,3.11,1.27,1.66,9.75,17.983728,108.001434
166,2.48,0.16,9.56,0.13,1.44,1.46,10.570271,71.05182
167,4.37,2.42,1.03,1.12,2.47,4.03,18.520555,71.82222
168,3.67,4.19,3.46,1.6,3.57,5.7,18.664557,90.33069
169,4.88,4.28,1.1,0.81,3.51,7.88,18.714066,91.653465
170,2.51,2.8,5.25,0.94,3.36,6.07,16.584108,87.2479
171,4.71,2.07,9.91,1.58,3.8,1.05,8.459339,67.35646
172,2.37,4.65,7.64,1.06,3.56,9.97,12.090862,113.80803
173,3.92,0.15,8.03,1.49,2.58,4.41,13.18251,82.10873
174,4.76,2.43,5.0,0.51,1.42,6.04,16.643263,89.15805
175,3.24,1.07,9.19,0.81,4.79,4.69,10.815697,82.3181
176,4.44,3.74,5.3,1.35,1.98,7.97,16.865751,106.560936
177,3.6,4.21,9.47,1.08,3.82,6.61,8.146836,90.35628
178,2.78,2.62,9.02,0.74,0.75,9.82,15.295395,131.0217
179,3.94,0.7,7.57,0.84,3.67,3.47,13.181299,72.92041
180,0.6,4.02,9.63,0.62,2.54,8.46,10.996332,109.69259
181,0.77,2.7,5.02,0.44,4.41,7.19,14.929483,81.3301
182,3.74,2.55,6.41,0.65,0.84,3.71,15.164917,86.684135
183,4.49,2.64,2.94,1.36,1.16,3.87,17.572319,73.2723
184,0.93,1.38,4.65,0.97,2.67,3.9,16.213667,69.38124
185,4.47,4.78,5.75,0.39,2.71,7.4,13.478575,90.531204
186,1.62,4.42,3.54,1.02,4.78,8.23,16.928102,95.862656
187,2.49,0.29,4.56,1.46,3.16,3.05,17.365896,72.706665
188,1.53,4.72,6.74,1.76,1.36,0.65,15.273119,94.98895
189,0.51,1.63,6.61,0.81,1.88,3.8,14.323971,79.472305
190,2.55,0.34,7.45,0.24,1.01,7.27,14.103006,97.977066
191,2.76,1.0,9.05,0.58,3.48,1.6,10.397064,66.5916
192,1.95,0.93,0.65,0.92,1.05,8.22,18.6684,76.551384
193,4.49,4.61,1.09,1.85,3.17,5.84,17.896791,88.051926
194,1.04,1.52,5.69,0.84,3.31,3.78,15.082796,70.40999
195,1.04,1.57,5.69,0.3,2.94,4.4,15.206171,73.3259
196,4.65,4.94,9.33,1.5,1.03,4.05,10.421658,84.22157
197,1.22,2.24,5.07,1.84,0.23,5.95,16.646376,95.28386
198,1.71,3.99,3.63,1.19,2.68,3.38,17.065914,76.628174
199,1.16,4.25,8.48,0.46,4.51,9.06,8.877681,100.8991
200,2.85,1.97,8.13,0.49,3.25,9.49,14.106285,114.94687
201,0.94,4.37,1.4,1.63,4.54,4.72,17.565765,76.594055
202,4.35,3.06,1.5,1.28,2.66,9.17,17.83159,84.10497
203,4.32,4.79,3.47,1.14,0.76,8.67,16.168123,99.65611
204,0.9,3.51,6.07,0.77,2.24,2.23,15.358198,80.55434
205,2.61,0.88,0.56,0.81,4.21,4.66,22.06109,87.57366
206,2.33,2.48,6.58,0.12,4.49,7.41,12.641643,85.6458
207,1.33,2.18,8.59,1.11,4.53,1.59,9.076757,64.988785
208,1.5,0.67,1.77,1.1,0.67,4.53,18.346508,69.96799
209,4.88,4.03,7.09,1.85,4.04,5.72,11.630026,87.75816
210,1.3,0.91,1.73,1.67,3.25,8.5,18.745676,82.58351
211,0.77,1.83,6.61,1.85,1.56,1.05,14.238003,72.016815
212,4.76,2.08,6.47,0.84,0.38,4.95,14.977411,91.405235
213,3.51,3.22,4.66,1.72,1.22,3.91,17.238289,84.81902
214,2.11,0.88,4.5,0.19,0.34,5.32,16.276241,77.748985
215,1.97,3.56,8.48,0.58,3.83,6.09,9.492004,87.68002
216,1.83,1.06,5.28,1.16,2.66,6.48,15.656464,81.07513
217,1.0,2.55,6.11,1.51,2.07,2.73,15.584691,79.56242
218,4.46,2.71,7.27,1.77,4.07,7.88,13.503387,101.54319
219,3.25,0.6,0.86,1.64,3.81,4.91,21.759789,86.85994
220,1.8,4.13,5.37,0.78,2.38,3.08,16.37572,86.6236
221,2.41,4.01,9.31,0.24,4.55,1.54,4.0903845,56.343834
222,3.19,0.41,9.15,1.1,1.44,6.25,13.111232,102.35924
223,1.98,3.02,8.65,1.13,3.69,8.52,12.785968,113.723236
224,0.66,2.1,2.87,1.92,0.7,9.54,16.905678,91.673134
225,0.86,3.68,2.18,0.94,2.11,7.84,17.945087,88.7283
226,1.41,3.23,4.59,1.06,1.97,1.55,16.660988,75.87804
227,1.85,2.64,4.94,0.38,4.18,6.42,15.686767,79.69069
228,1.32,4.05,6.76,1.4,1.68,7.61,14.087023,104.13651
229,1.88,0.88,1.59,1.18,1.55,5.42,18.728106,73.35093
230,4.37,2.23,4.47,0.9,1.57,2.52,16.634026,71.01224
231,3.05,4.45,2.56,1.42,1.13,9.1,17.463133,103.71852
232,4.53,0.99,2.78,0.27,4.13,3.05,19.943901,81.37807
233,4.84,4.08,3.93,0.57,0.8,9.97,16.861694,110.03491
234,4.01,0.74,1.34,0.3,2.2,1.22,20.284445,73.55885
235,3.44,1.04,7.02,1.25,3.9,2.76,13.831899,70.957634
236,2.59,3.31,9.14,0.14,1.32,6.37,11.324593,94.419754
237,4.44,4.71,9.9,1.44,2.68,4.54,6.581631,72.05768
238,1.79,1.7,1.93,0.66,1.67,1.19,17.90417,63.474335
239,2.54,1.52,7.6,1.77,0.98,7.31,14.604858,108.91991
240,1.97,4.49,8.43,0.28,3.75,3.05,5.146191,57.421078
241,4.24,3.43,9.28,1.74,4.61,4.49,8.010311,80.92559
242,2.72,2.71,1.33,1.04,4.91,4.88,19.37206,82.4001
243,3.08,0.67,9.32,0.52,3.81,5.28,11.458404,86.85087
244,4.82,0.35,6.47,0.18,4.27,3.52,15.421717,75.05957
245,4.1,0.53,2.8,1.47,0.79,4.95,17.586657,72.24287
246,1.02,0.28,1.63,1.84,1.85,9.58,18.220686,81.60422
247,2.1,0.57,0.73,1.52,4.7,8.18,21.60047,93.23357
248,1.97,1.68,8.04,0.81,4.37,5.86,11.889796,86.24498
249,0.78,0.81,3.95,0.81,0.39,1.81,16.253876,63.294
250,0.99,1.13,4.61,1.39,1.58,4.78,16.321928,74.62971
251,3.19,4.38,2.04,0.91,4.51,1.18,16.519918,69.45356
252,4.95,2.14,4.45,0.57,3.23,2.7,16.685934,69.69637
253,1.9,1.93,6.34,0.4,4.21,8.93,13.558212,93.24422
254,4.15,1.75,9.54,1.71,1.57,0.9,10.399669,74.13129
255,0.98,3.08,1.93,0.64,1.0,1.92,16.446848,63.405922
256,1.13,0.47,9.38,1.42,3.11,7.25,13.263548,107.630775
257,2.29,2.54,1.12,0.99,1.29,7.09,17.672365,73.40346
258,4.05,0.35,7.36,1.0,1.83,7.45,14.143429,96.36635
259,0.73,0.21,1.42,1.62,1.75,3.11,19.897951,73.41011
260,3.41,1.59,7.38,1.98,4.46,9.75,13.9290085,107.55669
261,3.92,1.75,6.1,0.94,3.14,3.18,15.031904,72.48326
262,3.15,3.28,2.97,1.88,0.48,1.22,17.286201,78.246056
263,4.22,0.9,4.75,1.52,4.08,1.0,17.772314,74.069046
264,1.69,3.59,8.51,1.9,0.98,7.33,13.29189,109.27464
265,3.35,1.85,6.1,1.92,3.79,8.57,14.49857,95.5109
266,4.5,4.26,1.93,0.21,3.84,4.64,18.210852,82.8564
267,1.33,1.27,3.51,1.67,0.73,7.95,16.67479,84.500885
268,1.95,4.95,2.4,0.56,0.3,6.84,17.20171,99.86893
269,0.87,1.5,2.06,0.95,1.46,4.44,17.785278,68.32755
270,3.0,1.87,5.18,1.01,2.83,8.22,15.806858,91.61589
271,1.32,1.06,5.43,0.57,2.18,6.9,15.472607,83.90861
272,2.27,4.65,0.74,1.04,1.19,2.92,18.195158,92.73419
273,1.29,4.24,4.7,0.37,1.44,8.82,16.35233,106.15506
274,0.83,3.98,6.3,0.17,1.51,1.59,16.213785,92.64787
275,4.99,2.45,8.44,0.54,3.56,6.0,12.082893,91.72968
276,1.05,4.03,8.94,0.39,1.91,4.94,9.216268,77.322205
277,4.91,2.85,6.28,0.27,1.25,8.04,15.397985,104.61093
278,2.14,2.21,6.33,1.24,4.22,6.17,13.983664,84.35357
279,3.83,3.19,8.31,1.82,3.69,9.84,14.187109,123.33218
280,4.6,2.97,6.34,1.49,4.02,4.9,14.806578,83.903145
281,4.59,2.93,9.26,1.83,2.53,0.88,9.186988,67.932884
282,2.72,1.39,6.96,1.77,1.61,2.23,14.08638,76.46124
283,2.58,3.14,9.58,1.84,2.16,7.39,12.687101,112.535736
284,2.78,3.15,2.9,1.98,0.96,5.54,18.205893,84.0499
285,0.69,4.12,7.23,0.54,0.2,3.94,15.27557,99.3932
286,4.98,3.99,8.16,1.76,4.65,6.93,9.940617,93.49327
287,3.64,0.34,3.82,0.45,2.31,2.75,17.875387,70.68916
288,2.5,2.63,7.52,0.39,1.26,1.24,13.95145,83.150635
289,0.56,0.3,8.31,1.96,1.89,2.64,12.308986,76.909805
290,0.8,0.5,8.65,0.48,2.77,5.99,12.599449,92.86493
291,2.72,2.77,6.82,1.99,3.52,0.61,13.600206,67.88058
292,1.05,0.43,2.15,1.0,3.19,9.56,18.501043,84.60152
293,0.99,0.92,2.16,0.27,1.84,8.8,17.529203,78.004776
294,4.21,1.03,0.76,1.01,4.32,3.42,21.963076,86.94269
295,3.36,4.83,1.49,1.14,1.95,0.97,18.617056,97.802795
296,1.96,4.44,2.56,0.48,3.37,3.39,16.97975,79.5147
297,3.7,2.23,0.95,1.38,0.18,7.28,17.796484,75.86494
298,4.32,1.61,7.49,0.13,3.56,7.88,13.236782,94.39491
299,2.84,2.33,9.16,0.93,4.71,2.29,8.355359,70.0788
300,3.6,3.7,2.77,1.82,4.1,0.55,15.9572,61.35408
301,2.98,4.72,2.61,1.66,3.14,5.42,17.466732,90.251526
302,0.67,1.15,6.33,0.35,2.89,4.29,14.333252,73.43935
303,3.71,3.99,7.21,1.79,4.54,3.99,9.40037,74.84715
304,4.91,0.12,9.67,0.54,3.1,1.87,10.67636,69.28525
305,4.56,1.07,3.06,1.27,2.8,5.94,17.926126,77.49753
306,1.78,1.22,0.76,1.95,3.06,6.56,19.916384,80.738434
307,3.27,3.19,7.58,1.84,2.4,2.76,12.75057,79.15948
308,1.41,4.22,8.05,1.47,0.76,6.51,12.323273,94.73187
309,4.62,3.43,5.56,1.27,4.47,5.13,14.538535,78.919815
310,2.59,0.16,9.5,1.87,4.95,1.03,10.548837,68.46498
311,1.79,1.45,8.89,1.02,4.52,4.25,10.660788,80.644516
312,4.87,0.81,4.46,0.94,1.91,3.73,16.537523,71.41979
313,2.05,2.95,1.21,1.52,4.87,7.46,18.248869,80.835686
314,3.61,0.45,9.22,1.25,4.63,3.06,11.106024,74.90049
315,0.59,2.75,4.76,1.13,1.8,4.67,17.242455,84.50638
316,1.63,3.79,6.01,0.54,4.63,3.88,11.342884,72.17192
317,2.76,1.16,5.38,0.17,0.45,9.3,15.599113,100.28202
318,4.45,0.78,4.04,0.23,4.12,8.25,17.204752,84.28846
319,0.93,3.65,9.57,1.74,1.7,9.37,14.151184,129.59126
320,4.54,0.26,7.31,0.97,3.74,1.09,14.070734,66.70662
321,2.87,4.01,6.32,1.17,1.96,4.41,15.363737,88.71866
322,2.44,3.13,5.22,1.41,2.09,5.24,17.85164,93.65908
323,1.31,4.15,2.26,1.86,3.9,6.65,18.283392,86.840065
324,1.43,0.91,6.67,0.66,1.06,8.46,14.841166,103.04529
325,3.63,3.56,8.11,1.0,3.59,6.79,11.326063,95.064896
326,0.75,1.64,7.96,1.01,4.97,5.81,11.4518795,83.89693
327,4.98,1.46,2.86,1.7,1.61,3.96,17.595192,70.75563
328,1.32,4.61,4.76,0.92,4.94,9.39,13.478991,99.21748
329,2.23,0.26,7.6,1.1,3.89,5.5,13.330864,81.63972
330,1.42,1.49,4.79,0.83,2.1,3.11,16.10294,67.679756
331,2.09,2.22,5.11,1.88,4.71,3.23,15.944046,74.418976
332,2.04,2.13,4.74,0.54,2.68,3.16,16.455605,68.659004
333,2.6,0.58,8.81,1.68,0.42,3.36,12.421137,88.81677
334,0.57,3.53,9.67,0.46,3.65,5.72,7.7933946,85.88612
335,4.08,0.89,5.93,0.93,0.48,9.77,15.2528715,105.353424
336,4.79,3.14,7.42,1.42,2.22,6.88,14.028482,101.658134
337,2.19,2.38,6.24,0.42,2.32,1.29,14.913042,70.14
338,1.52,3.24,3.95,1.62,1.78,6.91,18.04188,94.58159
339,2.57,4.73,5.0,1.64,1.52,3.2,17.259007,98.50139
340,0.77,1.71,7.34,1.97,0.16,0.74,13.827318,82.004
341,4.74,4.58,3.07,0.6,3.01,1.31,17.533571,91.50683
342,4.0,2.24,2.35,1.2,1.68,7.37,17.460062,78.382416
343,0.57,4.9,1.35,1.33,1.12,5.19,17.25948,93.36957
344,3.79,3.34,2.56,0.54,4.7,6.74,17.29464,78.95174
345,1.06,2.57,2.51,0.81,0.58,2.25,16.8038,66.18818
346,1.07,2.76,1.1,0.52,3.99,2.01,18.706038,71.51161
347,4.52,1.08,5.11,1.31,2.53,5.22,15.977528,77.58972
348,0.55,4.3,1.7,0.97,1.67,6.63,17.47355,88.17091
349,0.85,3.41,2.38,1.31,2.84,6.89,17.475788,79.40502
350,3.9,1.26,8.75,0.88,4.07,5.08,11.629198,84.609344
351,3.74,1.65,8.98,0.93,4.83,9.47,12.899076,111.656136
352,1.6,2.23,9.85,1.64,0.57,7.68,14.192413,123.51028
353,1.11,0.89,4.76,1.86,3.26,5.5,16.27268,75.88776
354,3.42,4.7,2.44,0.67,2.99,9.24,18.018465,104.40564
355,2.13,0.45,1.57,1.02,3.72,8.85,19.892736,87.94666
356,2.25,1.81,2.48,0.75,3.62,4.53,18.727892,76.68817
357,3.64,1.22,4.67,0.79,0.67,9.78,15.852152,97.374535
358,2.25,3.93,7.64,0.47,3.24,8.97,12.786116,109.858185
359,0.66,1.15,1.84,0.43,4.75,6.98,20.011957,86.97592
360,4.83,4.64,5.97,0.65,4.61,0.5,7.301638,52.498695
361,2.59,3.42,3.98,0.91,2.72,1.64,16.16502,65.44623
362,3.4,2.57,8.47,0.95,0.87,6.3,13.259327,102.48224
363,4.11,3.34,7.8,0.75,4.01,4.29,10.300484,77.484634
364,1.37,4.2,0.57,0.36,4.52,1.82,16.160616,62.080456
365,3.72,3.25,4.93,0.63,3.36,6.57,17.14643,89.647736
366,3.21,0.47,2.27,0.22,2.86,3.17,20.050505,77.577095
367,1.79,2.43,5.01,1.58,0.62,2.18,16.45141,79.54631
368,3.82,1.98,6.35,1.19,3.82,7.36,14.275172,89.81656
369,4.76,1.48,3.85,0.64,0.25,6.01,16.596552,80.80162
370,3.84,1.82,7.5,0.48,1.43,4.68,13.729687,88.75818
371,0.85,4.18,6.83,1.76,5.0,9.3,10.853285,102.28338
372,3.43,3.58,4.35,1.59,1.93,2.18,17.15973,81.40549
373,2.98,3.73,2.8,1.9,4.71,6.34,17.038176,78.125946
374,1.39,1.7,2.16,1.47,3.81,4.83,18.977592,77.89142
375,2.92,1.26,6.41,0.41,2.24,5.08,14.806696,82.23628
376,1.27,0.4,2.24,1.42,1.77,6.25,18.31339,75.2283
377,2.27,0.49,3.36,1.52,3.09,0.6,18.848242,70.93597
378,2.28,3.76,4.44,0.44,4.85,6.15,15.29719,80.44069
379,1.37,0.23,2.95,0.51,4.84,4.38,20.482115,86.809296
380,4.54,1.66,6.57,0.53,0.35,1.88,14.429382,77.95407
381,1.37,4.39,8.3,0.99,3.53,2.87,5.8947873,58.557945
382,4.86,2.38,2.08,1.5,3.09,5.72,18.049593,76.46742
383,1.61,4.45,7.36,1.8,1.73,5.95,12.034019,87.85839
384,3.74,0.49,9.71,1.89,1.57,1.37,10.869966,76.21925
385,3.08,1.73,4.78,0.8,1.03,4.44,16.499983,79.43862
