ID,l_s,l_2,l_1,w_s,w_2,w_1,freq,s_2,s_1
39,5.8,6.7,6.86,0.69,0.45,0.19,3.66 GHz,0.32,0.32
40,5.83,6.94,7.29,0.58,0.6,0.13,3.93 GHz,0.21,0.25
41,5.81,6.88,7.2,0.56,0.53,0.21,1.04 GHz,0.22,0.19
42,5.83,7.45,7.13,0.66,0.59,0.29,1.71 GHz,0.33,0.3
43,6.37,7.18,7.18,0.69,0.53,0.18,3.30 GHz,0.21,0.3
44,5.88,7.05,7.03,0.68,0.53,0.14,1.01 GHz,0.2,0.32
45,5.54,7.28,7.02,0.57,0.48,0.25,1.73 GHz,0.24,0.28
46,5.54,6.61,7.44,0.54,0.58,0.21,1.71 GHz,0.22,0.18
47,6.43,6.81,6.75,0.52,0.58,0.23,3.19 GHz,0.26,0.22
48,5.79,7.47,6.85,0.55,0.59,0.27,910.00 MHz,0.17,0.31
49,6.31,7.44,7.49,0.56,0.57,0.19,3.12 GHz,0.21,0.31
50,6.34,6.92,7.17,0.53,0.48,0.2,2.32 GHz,0.18,0.23
51,6.32,6.8,6.98,0.64,0.42,0.29,1.56 GHz,0.33,0.18
52,6.35,7.15,6.51,0.6,0.58,0.29,2.81 GHz,0.29,0.33
53,6.28,6.87,6.73,0.68,0.47,0.16,1.74 GHz,0.28,0.2
54,5.92,6.8,7.37,0.7,0.49,0.21,940.00 MHz,0.21,0.32
55,5.65,7.4,7.23,0.66,0.56,0.16,3.44 GHz,0.29,0.2
56,5.86,6.59,7.46,0.5,0.55,0.15,1.92 GHz,0.32,0.22
57,5.75,7.23,6.98,0.56,0.48,0.19,2.22 GHz,0.18,0.21
58,5.78,6.53,6.69,0.67,0.42,0.3,1.76 GHz,0.3,0.3
59,6.5,6.81,6.88,0.63,0.44,0.27,3.02 GHz,0.18,0.2
60,6.38,7.2,6.99,0.56,0.42,0.23,2.53 GHz,0.22,0.3
61,6.04,7.45,7.03,0.7,0.43,0.21,2.69 GHz,0.25,0.17
62,5.63,6.86,7.13,0.54,0.49,0.18,2.66 GHz,0.25,0.21
63,5.89,7.45,7.15,0.68,0.43,0.16,2.44 GHz,0.3,0.24
64,5.71,7.4,6.56,0.56,0.43,0.13,1.91 GHz,0.17,0.26
65,5.79,7.22,7.38,0.65,0.43,0.12,2.88 GHz,0.23,0.21
66,5.78,7.48,6.63,0.64,0.41,0.12,3.55 GHz,0.28,0.19
67,5.95,6.55,7.2,0.63,0.4,0.16,900.00 MHz,0.31,0.22
68,6.3,7.04,7.3,0.69,0.48,0.26,1.72 GHz,0.17,0.2
69,6.05,7.07,7.37,0.68,0.53,0.29,1.37 GHz,0.28,0.26
70,6.02,6.54,7.0,0.65,0.42,0.27,3.92 GHz,0.17,0.33
71,6.16,6.86,7.27,0.67,0.58,0.25,3.46 GHz,0.16,0.2
72,5.84,6.61,7.4,0.63,0.6,0.25,2.44 GHz,0.33,0.25
73,6.35,6.74,6.53,0.59,0.48,0.13,3.86 GHz,0.25,0.3
74,5.76,6.63,6.96,0.51,0.41,0.22,1.04 GHz,0.32,0.24
75,5.86,6.56,6.97,0.51,0.58,0.21,2.46 GHz,0.33,0.26
76,6.41,6.57,6.76,0.69,0.46,0.13,2.57 GHz,0.2,0.3
77,5.99,7.35,7.19,0.61,0.46,0.12,1.86 GHz,0.27,0.3
78,6.21,6.92,7.32,0.57,0.47,0.17,1.28 GHz,0.27,0.3
79,6.2,7.0,7.41,0.66,0.48,0.27,2.02 GHz,0.22,0.24
80,6.41,7.35,6.56,0.67,0.55,0.23,820.00 MHz,0.19,0.26
81,6.12,6.88,6.71,0.65,0.42,0.26,1.70 GHz,0.34,0.2
82,6.14,6.79,6.53,0.55,0.54,0.12,1.41 GHz,0.21,0.31
83,5.53,7.02,7.11,0.57,0.47,0.2,3.27 GHz,0.28,0.32
84,6.23,7.15,6.58,0.64,0.58,0.23,1.16 GHz,0.29,0.26
85,5.93,6.89,6.85,0.58,0.53,0.27,1.64 GHz,0.28,0.2
86,5.87,7.06,6.74,0.65,0.59,0.24,3.12 GHz,0.32,0.25
87,6.22,7.36,7.48,0.6,0.48,0.28,3.01 GHz,0.21,0.32
88,6.35,7.06,6.59,0.57,0.4,0.26,3.07 GHz,0.26,0.17
89,5.71,6.76,6.79,0.69,0.52,0.2,3.84 GHz,0.28,0.35
90,5.64,7.33,6.98,0.63,0.5,0.24,900.00 MHz,0.19,0.3
91,5.92,7.25,7.2,0.5,0.52,0.16,1.25 GHz,0.17,0.18
92,6.38,7.02,6.81,0.66,0.45,0.21,1.56 GHz,0.26,0.19
93,5.66,7.0,7.26,0.53,0.4,0.21,3.90 GHz,0.29,0.17
94,5.81,7.29,6.68,0.58,0.57,0.24,1.67 GHz,0.32,0.28
95,5.74,6.96,6.59,0.54,0.53,0.18,3.52 GHz,0.34,0.18
96,6.45,7.04,6.82,0.63,0.4,0.25,1.88 GHz,0.29,0.26
97,5.64,7.47,7.28,0.65,0.48,0.14,2.28 GHz,0.22,0.22
98,5.61,6.59,6.97,0.68,0.47,0.25,2.56 GHz,0.3,0.35
99,6.29,7.43,7.49,0.69,0.46,0.29,2.90 GHz,0.34,0.25
100,6.42,6.67,6.97,0.68,0.44,0.18,960.00 MHz,0.2,0.25
101,5.81,7.04,7.48,0.57,0.52,0.26,2.03 GHz,0.2,0.21
102,6.24,6.81,6.76,0.68,0.53,0.29,2.31 GHz,0.3,0.15
103,5.7,7.42,7.05,0.57,0.59,0.12,2.79 GHz,0.26,0.29
104,6.04,6.7,6.91,0.52,0.51,0.15,1.15 GHz,0.22,0.27
105,5.55,6.79,6.97,0.68,0.55,0.2,2.15 GHz,0.24,0.17
106,5.98,6.96,6.5,0.52,0.42,0.3,2.89 GHz,0.26,0.24
107,6.12,7.31,7.16,0.57,0.44,0.24,2.14 GHz,0.16,0.24
108,6.07,7.46,6.93,0.56,0.59,0.27,3.11 GHz,0.26,0.31
109,6.12,7.11,6.52,0.69,0.57,0.21,1.03 GHz,0.28,0.18
110,5.73,7.26,7.21,0.54,0.59,0.18,1.58 GHz,0.24,0.23
111,5.67,7.35,7.46,0.68,0.52,0.25,3.34 GHz,0.23,0.29
112,5.71,7.34,7.28,0.67,0.52,0.14,2.43 GHz,0.16,0.23
113,6.17,7.27,6.91,0.63,0.46,0.3,1.60 GHz,0.3,0.22
114,5.52,6.61,7.3,0.65,0.59,0.12,2.34 GHz,0.28,0.18
115,6.21,6.9,7.04,0.69,0.56,0.24,970.00 MHz,0.24,0.16
116,5.89,6.59,7.46,0.6,0.42,0.19,990.00 MHz,0.19,0.3
117,6.28,7.25,7.29,0.62,0.47,0.16,3.13 GHz,0.16,0.29
118,6.05,6.78,6.84,0.6,0.5,0.18,1.09 GHz,0.32,0.34
119,6.12,6.95,7.01,0.53,0.59,0.11,2.52 GHz,0.31,0.15
120,5.52,6.54,7.14,0.65,0.48,0.23,1.17 GHz,0.25,0.18
121,5.94,6.74,6.92,0.56,0.59,0.29,2.29 GHz,0.21,0.31
122,6.49,6.57,7.25,0.56,0.53,0.26,3.46 GHz,0.23,0.3
123,5.65,7.46,7.47,0.5,0.4,0.18,1.35 GHz,0.26,0.35
124,5.61,7.4,6.93,0.67,0.44,0.21,2.94 GHz,0.32,0.33
125,5.85,6.84,7.24,0.57,0.51,0.28,2.82 GHz,0.18,0.15
126,6.39,7.33,7.26,0.54,0.51,0.1,3.91 GHz,0.25,0.18
127,5.92,7.06,6.93,0.67,0.59,0.15,2.78 GHz,0.24,0.3
128,5.83,7.4,7.44,0.67,0.55,0.19,2.24 GHz,0.18,0.31
129,5.52,7.44,6.57,0.69,0.49,0.22,1.71 GHz,0.27,0.28
130,6.31,7.1,6.71,0.54,0.56,0.18,2.30 GHz,0.24,0.31
131,6.46,6.78,7.07,0.69,0.5,0.15,1.20 GHz,0.33,0.32
132,6.16,6.6,7.34,0.69,0.41,0.14,3.34 GHz,0.34,0.24
133,6.0,6.71,7.47,0.6,0.52,0.16,2.49 GHz,0.18,0.26
134,5.66,6.98,7.1,0.53,0.57,0.2,2.77 GHz,0.17,0.22
135,5.85,7.38,6.96,0.6,0.57,0.29,2.15 GHz,0.17,0.32
136,6.41,6.73,6.8,0.7,0.5,0.14,3.26 GHz,0.29,0.24
137,5.66,6.74,6.8,0.52,0.51,0.24,1.59 GHz,0.15,0.31
138,6.2,7.23,7.23,0.59,0.53,0.13,1.04 GHz,0.23,0.34
139,5.68,7.41,6.59,0.57,0.52,0.11,3.62 GHz,0.3,0.2
140,6.29,7.16,6.58,0.55,0.6,0.17,1.02 GHz,0.19,0.3
141,5.89,6.79,6.89,0.59,0.52,0.23,1.70 GHz,0.19,0.23
142,6.14,7.15,6.58,0.61,0.43,0.14,3.03 GHz,0.24,0.22
143,5.66,7.2,7.16,0.5,0.48,0.11,2.99 GHz,0.24,0.23
144,5.8,6.73,6.99,0.68,0.5,0.23,2.42 GHz,0.25,0.32
145,5.94,7.48,6.95,0.66,0.4,0.11,1.05 GHz,0.22,0.33
146,6.29,7.25,7.27,0.67,0.41,0.13,1.37 GHz,0.22,0.22
147,5.61,7.04,7.14,0.58,0.5,0.2,2.96 GHz,0.21,0.19
148,5.53,6.63,6.93,0.54,0.44,0.12,1.48 GHz,0.32,0.34
149,5.94,7.22,7.29,0.5,0.59,0.16,3.27 GHz,0.18,0.33
150,5.79,6.55,6.9,0.6,0.41,0.23,2.08 GHz,0.17,0.18
151,5.73,6.81,7.23,0.62,0.55,0.27,3.07 GHz,0.2,0.23
152,5.53,6.83,6.71,0.58,0.45,0.16,3.27 GHz,0.28,0.3
153,6.1,7.29,6.65,0.59,0.4,0.23,1.58 GHz,0.31,0.32
154,5.73,7.33,6.73,0.52,0.41,0.13,1.99 GHz,0.28,0.33
155,5.61,6.67,6.6,0.54,0.51,0.14,1.44 GHz,0.16,0.32
156,6.29,7.27,7.47,0.6,0.46,0.27,2.07 GHz,0.33,0.27
157,6.41,6.91,6.93,0.59,0.48,0.12,3.77 GHz,0.31,0.17
158,5.83,6.65,6.59,0.57,0.59,0.28,2.90 GHz,0.17,0.29
159,5.54,7.09,6.73,0.69,0.45,0.22,1.32 GHz,0.35,0.25
160,6.22,6.99,7.21,0.55,0.54,0.24,2.05 GHz,0.16,0.21
161,5.59,6.52,6.68,0.6,0.41,0.18,3.14 GHz,0.29,0.24
162,5.64,7.15,6.89,0.54,0.5,0.14,3.51 GHz,0.17,0.26
163,6.23,6.61,6.54,0.64,0.56,0.25,3.67 GHz,0.18,0.21
164,5.5,6.52,6.75,0.58,0.43,0.18,1.78 GHz,0.21,0.19
165,6.12,6.95,6.7,0.52,0.44,0.18,3.13 GHz,0.25,0.27
166,6.4,6.8,6.66,0.53,0.45,0.17,3.45 GHz,0.3,0.23
167,5.66,7.37,7.35,0.68,0.53,0.2,3.60 GHz,0.26,0.22
168,5.72,7.15,6.71,0.67,0.57,0.23,2.55 GHz,0.23,0.19
169,5.77,6.93,7.31,0.59,0.48,0.29,2.72 GHz,0.23,0.34
170,5.6,6.65,6.98,0.6,0.52,0.12,2.78 GHz,0.27,0.25
171,5.81,6.91,6.9,0.6,0.52,0.1,3.70 GHz,0.27,0.23
172,5.94,6.5,6.84,0.68,0.52,0.12,1.37 GHz,0.25,0.23
173,5.91,6.93,6.95,0.53,0.41,0.24,3.03 GHz,0.17,0.34
174,6.08,7.2,7.34,0.6,0.55,0.1,2.73 GHz,0.22,0.15
175,5.52,7.06,7.18,0.7,0.48,0.21,2.11 GHz,0.26,0.31
176,5.89,7.19,7.02,0.58,0.53,0.15,1.69 GHz,0.2,0.2
177,6.13,7.2,6.84,0.62,0.55,0.21,1.27 GHz,0.17,0.33
178,6.21,7.06,7.29,0.54,0.45,0.2,2.70 GHz,0.28,0.27
179,6.47,7.17,7.3,0.51,0.43,0.14,2.12 GHz,0.16,0.29
180,6.35,6.87,6.65,0.56,0.57,0.2,3.64 GHz,0.21,0.24
181,5.52,6.98,6.83,0.57,0.4,0.3,1.05 GHz,0.15,0.18
182,6.03,6.65,6.92,0.57,0.42,0.11,3.49 GHz,0.29,0.18
183,6.03,6.94,6.61,0.69,0.58,0.12,1.50 GHz,0.17,0.34
184,5.98,7.17,7.16,0.51,0.46,0.13,2.87 GHz,0.3,0.3
185,6.06,6.9,6.53,0.6,0.42,0.17,2.58 GHz,0.18,0.22
186,6.35,7.05,6.57,0.64,0.43,0.22,960.00 MHz,0.17,0.19
187,6.25,7.09,7.21,0.63,0.42,0.29,1.70 GHz,0.25,0.22
188,6.36,6.72,6.79,0.54,0.55,0.2,2.85 GHz,0.32,0.35
189,6.24,7.18,6.75,0.6,0.54,0.16,2.23 GHz,0.27,0.22
190,6.22,6.76,7.31,0.51,0.4,0.21,3.23 GHz,0.16,0.27
191,5.83,7.49,6.55,0.64,0.46,0.18,3.43 GHz,0.34,0.28
192,6.2,6.6,6.97,0.53,0.56,0.2,3.21 GHz,0.16,0.18
193,5.75,6.65,7.48,0.55,0.51,0.26,3.35 GHz,0.31,0.35
194,5.67,7.12,6.67,0.55,0.54,0.11,900.00 MHz,0.18,0.28
195,6.03,6.79,7.14,0.5,0.47,0.24,3.19 GHz,0.18,0.29
196,6.09,7.33,6.79,0.67,0.52,0.21,2.82 GHz,0.28,0.16
197,6.45,7.44,7.06,0.61,0.43,0.16,1.69 GHz,0.17,0.25
198,5.59,6.61,6.77,0.6,0.47,0.27,960.00 MHz,0.24,0.24
199,5.6,7.15,7.03,0.68,0.41,0.27,860.00 MHz,0.27,0.28
200,6.28,7.25,6.95,0.57,0.58,0.27,3.65 GHz,0.29,0.2
201,5.86,7.35,7.38,0.52,0.52,0.18,3.55 GHz,0.29,0.16
202,5.97,7.12,6.9,0.63,0.44,0.23,1.16 GHz,0.27,0.19
203,6.4,7.21,7.1,0.7,0.54,0.26,3.10 GHz,0.3,0.32
204,6.04,7.2,7.07,0.68,0.48,0.18,3.46 GHz,0.18,0.24
205,6.19,6.62,7.15,0.66,0.42,0.11,3.19 GHz,0.28,0.29
206,5.75,7.31,7.38,0.7,0.54,0.21,2.45 GHz,0.21,0.21
207,6.1,7.37,6.79,0.57,0.44,0.15,3.53 GHz,0.15,0.21
208,5.81,7.04,7.1,0.6,0.42,0.12,3.65 GHz,0.19,0.28
209,6.22,7.15,7.46,0.58,0.4,0.1,1.43 GHz,0.34,0.16
210,5.51,7.48,7.39,0.51,0.53,0.13,940.00 MHz,0.19,0.2
211,5.9,6.7,6.83,0.54,0.57,0.22,3.01 GHz,0.19,0.2
212,6.02,7.16,7.34,0.67,0.52,0.14,3.68 GHz,0.28,0.17
213,6.49,7.15,7.2,0.52,0.43,0.25,3.16 GHz,0.22,0.25
214,5.59,7.02,6.58,0.64,0.58,0.18,1.80 GHz,0.15,0.2
215,5.84,7.28,7.21,0.54,0.53,0.17,4.00 GHz,0.26,0.3
216,6.13,6.77,7.42,0.56,0.44,0.21,2.17 GHz,0.33,0.2
217,6.48,6.57,7.29,0.66,0.54,0.14,3.22 GHz,0.18,0.28
218,6.37,7.02,7.36,0.54,0.45,0.11,1.58 GHz,0.24,0.25
219,6.12,6.6,6.71,0.64,0.53,0.28,1.04 GHz,0.27,0.18
220,6.15,6.7,6.8,0.56,0.57,0.13,1.51 GHz,0.16,0.25
221,6.23,7.34,6.56,0.67,0.51,0.29,1.43 GHz,0.27,0.25
222,5.9,6.69,6.84,0.51,0.44,0.12,3.41 GHz,0.16,0.26
223,5.51,6.83,7.46,0.69,0.45,0.15,860.00 MHz,0.25,0.19
224,6.02,7.16,6.79,0.67,0.43,0.16,2.84 GHz,0.34,0.18
225,6.31,7.02,6.62,0.56,0.56,0.21,2.59 GHz,0.31,0.34
226,6.34,6.93,6.98,0.59,0.5,0.1,2.83 GHz,0.24,0.22
227,6.09,6.73,7.44,0.54,0.48,0.12,1.04 GHz,0.28,0.26
228,6.16,6.94,6.62,0.54,0.47,0.28,3.84 GHz,0.27,0.24
229,6.37,6.52,6.59,0.52,0.57,0.19,2.85 GHz,0.31,0.22
230,5.75,6.59,7.24,0.7,0.46,0.21,1.50 GHz,0.26,0.2
231,5.99,7.09,7.14,0.56,0.52,0.13,3.28 GHz,0.26,0.24
232,6.4,6.53,6.69,0.7,0.47,0.16,3.15 GHz,0.27,0.3
233,6.43,6.81,6.97,0.57,0.56,0.2,2.53 GHz,0.24,0.22
234,5.64,7.43,7.11,0.62,0.41,0.15,3.48 GHz,0.21,0.32
235,6.38,7.26,7.08,0.52,0.46,0.19,1.76 GHz,0.25,0.27
236,5.56,7.49,6.79,0.58,0.4,0.26,1.27 GHz,0.22,0.2
237,6.4,6.66,6.71,0.56,0.57,0.24,1.21 GHz,0.31,0.28
238,5.52,7.16,7.16,0.68,0.59,0.19,2.82 GHz,0.29,0.28
239,5.75,7.1,7.47,0.66,0.4,0.17,1.55 GHz,0.31,0.26
240,5.94,7.33,6.5,0.67,0.48,0.15,2.66 GHz,0.29,0.2
241,5.53,7.12,7.47,0.59,0.59,0.14,2.90 GHz,0.17,0.34
242,5.89,6.86,7.28,0.62,0.58,0.28,3.87 GHz,0.3,0.17
243,6.42,6.73,6.89,0.7,0.45,0.22,840.00 MHz,0.22,0.2
244,5.95,6.51,7.17,0.56,0.53,0.28,1.09 GHz,0.22,0.33
245,5.85,6.73,7.28,0.52,0.55,0.25,3.06 GHz,0.18,0.26
246,5.87,6.82,6.63,0.56,0.59,0.17,1.07 GHz,0.22,0.22
247,6.28,6.95,7.05,0.66,0.51,0.17,3.03 GHz,0.17,0.21
248,6.13,7.3,6.73,0.55,0.41,0.3,960.00 MHz,0.18,0.32
249,5.73,7.06,7.21,0.55,0.56,0.3,980.00 MHz,0.17,0.3
250,6.09,6.96,7.42,0.53,0.53,0.29,1.52 GHz,0.34,0.33
251,5.86,6.95,7.09,0.63,0.44,0.14,3.96 GHz,0.23,0.22
252,6.17,7.26,7.14,0.68,0.5,0.22,850.00 MHz,0.22,0.26
253,6.12,6.95,7.02,0.61,0.5,0.25,3.87 GHz,0.25,0.23
254,5.9,6.87,6.58,0.6,0.43,0.26,3.56 GHz,0.28,0.31
255,5.95,6.63,6.5,0.65,0.53,0.21,1.69 GHz,0.31,0.29
256,5.67,6.54,6.7,0.66,0.53,0.29,1.04 GHz,0.2,0.27
257,6.49,7.11,6.63,0.57,0.52,0.29,1.25 GHz,0.35,0.29
258,6.15,6.76,6.63,0.68,0.45,0.29,1.51 GHz,0.21,0.32
259,6.15,6.82,7.38,0.57,0.52,0.15,1.07 GHz,0.34,0.29
260,6.4,6.91,6.55,0.51,0.45,0.23,1.53 GHz,0.17,0.19
261,6.03,6.66,7.35,0.63,0.52,0.29,2.38 GHz,0.18,0.22
262,6.15,6.64,7.11,0.61,0.58,0.18,2.15 GHz,0.22,0.28
263,6.37,7.35,7.19,0.54,0.53,0.23,3.61 GHz,0.2,0.29
264,5.74,7.36,7.45,0.61,0.43,0.2,3.19 GHz,0.19,0.28
265,5.64,6.55,7.27,0.54,0.46,0.18,3.71 GHz,0.25,0.34
266,6.18,6.64,6.67,0.51,0.53,0.15,1.55 GHz,0.15,0.16
267,5.56,7.43,6.76,0.51,0.44,0.17,3.03 GHz,0.32,0.3
268,6.49,7.42,6.54,0.67,0.55,0.1,3.47 GHz,0.24,0.28
269,6.01,6.84,6.63,0.64,0.56,0.1,910.00 MHz,0.25,0.21
270,5.56,7.48,7.3,0.56,0.55,0.28,1.29 GHz,0.3,0.16
271,5.66,6.72,7.26,0.68,0.59,0.15,1.98 GHz,0.21,0.3
272,6.2,7.06,7.12,0.64,0.54,0.17,1.19 GHz,0.22,0.31
273,5.83,7.41,7.09,0.64,0.42,0.15,1.28 GHz,0.17,0.23
274,6.27,6.99,7.22,0.66,0.5,0.12,2.37 GHz,0.17,0.3
275,5.57,7.43,7.4,0.58,0.58,0.19,1.45 GHz,0.25,0.25
276,6.17,6.67,6.69,0.65,0.48,0.22,3.98 GHz,0.18,0.32
277,6.23,6.86,7.09,0.5,0.6,0.19,2.41 GHz,0.3,0.27
278,6.16,7.45,7.28,0.6,0.58,0.29,2.65 GHz,0.21,0.34
279,6.36,7.14,6.82,0.55,0.4,0.22,2.93 GHz,0.16,0.16
280,6.4,6.89,6.66,0.61,0.44,0.18,1.22 GHz,0.2,0.26
281,6.33,7.23,7.08,0.64,0.46,0.18,3.04 GHz,0.3,0.31
282,6.3,7.43,7.04,0.54,0.53,0.25,3.68 GHz,0.26,0.18
283,5.64,6.82,6.55,0.66,0.43,0.17,2.96 GHz,0.22,0.31
284,6.2,6.84,7.35,0.68,0.41,0.19,1.68 GHz,0.28,0.32
285,6.18,7.1,6.7,0.56,0.56,0.25,950.00 MHz,0.29,0.27
286,5.54,6.88,7.1,0.58,0.59,0.15,1.50 GHz,0.19,0.2
287,5.67,6.6,6.64,0.64,0.45,0.28,3.70 GHz,0.26,0.3
288,5.97,7.45,7.01,0.63,0.55,0.1,3.52 GHz,0.16,0.32
289,6.29,7.41,7.07,0.51,0.6,0.24,1.88 GHz,0.16,0.21
290,6.23,6.93,6.95,0.54,0.47,0.22,1.40 GHz,0.15,0.15
291,6.44,6.53,6.78,0.58,0.44,0.14,2.80 GHz,0.25,0.29
292,5.63,6.56,6.82,0.61,0.41,0.12,3.81 GHz,0.25,0.22
293,5.93,6.99,6.8,0.56,0.46,0.19,1.07 GHz,0.16,0.3
294,5.62,6.87,7.44,0.52,0.57,0.15,1.66 GHz,0.22,0.25
295,6.47,6.99,7.16,0.65,0.43,0.29,1.57 GHz,0.26,0.25
296,6.29,7.27,6.55,0.6,0.51,0.14,960.00 MHz,0.16,0.24
297,6.38,7.22,6.64,0.65,0.54,0.13,1.38 GHz,0.24,0.21
298,6.37,6.81,7.23,0.67,0.55,0.12,3.96 GHz,0.27,0.17
299,5.74,6.55,6.57,0.69,0.43,0.26,2.89 GHz,0.17,0.27
300,6.03,6.97,6.57,0.52,0.56,0.17,2.63 GHz,0.21,0.15
301,5.76,6.9,7.39,0.52,0.4,0.28,3.32 GHz,0.31,0.31
302,5.79,7.27,7.2,0.54,0.55,0.11,1.17 GHz,0.33,0.32
303,5.67,7.34,7.24,0.59,0.47,0.26,920.00 MHz,0.35,0.21
304,6.33,6.78,7.02,0.69,0.43,0.14,2.16 GHz,0.23,0.3
305,5.5,6.98,6.71,0.7,0.41,0.28,820.00 MHz,0.29,0.34
306,6.22,6.71,6.55,0.65,0.41,0.19,1.09 GHz,0.19,0.29
307,6.46,7.29,7.19,0.53,0.55,0.18,1.97 GHz,0.33,0.22
308,5.51,6.96,7.03,0.61,0.46,0.16,1.11 GHz,0.23,0.22
309,5.63,6.9,7.42,0.52,0.4,0.16,3.92 GHz,0.21,0.33
310,5.87,6.77,7.24,0.61,0.6,0.15,1.79 GHz,0.23,0.22
311,5.52,6.86,7.05,0.68,0.43,0.18,2.69 GHz,0.32,0.28
312,6.36,7.3,6.83,0.52,0.53,0.27,1.71 GHz,0.15,0.27
313,6.18,6.84,6.79,0.67,0.44,0.15,3.20 GHz,0.2,0.19
314,6.31,7.35,7.3,0.66,0.5,0.11,2.92 GHz,0.28,0.35
315,6.42,6.92,7.14,0.66,0.58,0.29,3.87 GHz,0.29,0.33
316,6.42,6.62,6.92,0.55,0.51,0.1,2.40 GHz,0.29,0.18
317,5.53,7.24,6.63,0.62,0.59,0.24,1.77 GHz,0.27,0.28
318,6.3,7.02,7.41,0.5,0.57,0.29,2.32 GHz,0.35,0.18
319,6.38,6.54,6.68,0.51,0.49,0.29,2.01 GHz,0.29,0.28
320,6.15,7.21,6.58,0.65,0.55,0.27,1.92 GHz,0.35,0.29
321,5.82,7.41,7.13,0.57,0.52,0.18,3.86 GHz,0.28,0.17
322,5.6,6.87,6.92,0.53,0.41,0.24,1.24 GHz,0.32,0.3
323,6.22,7.3,7.06,0.51,0.44,0.11,3.69 GHz,0.19,0.33
324,5.63,6.59,7.12,0.62,0.53,0.23,930.00 MHz,0.19,0.21
325,5.88,6.54,6.92,0.61,0.43,0.2,1.64 GHz,0.19,0.31
326,5.95,6.58,7.41,0.59,0.47,0.19,2.99 GHz,0.3,0.31
327,5.97,6.89,6.76,0.6,0.57,0.13,3.86 GHz,0.31,0.28
328,6.03,6.85,7.05,0.67,0.48,0.14,1.32 GHz,0.15,0.24
329,5.92,7.0,7.25,0.65,0.48,0.3,2.39 GHz,0.21,0.16
330,5.57,6.76,6.81,0.7,0.56,0.1,1.93 GHz,0.32,0.24
331,5.66,7.3,6.71,0.65,0.41,0.25,1.46 GHz,0.19,0.17
